User @,Comment Text
pnji_ngrho,dokternya asik bat 😪🤏
arf.bruh,pengganti obat bius😴
bcotluyadek,"ok keren, skrng beri tahu aku apa yg kau lakukan setelah itu"
sakzzwanttosleep,@xemvakk2 broo🤨
pangty10,dokternya asik cuy🗿👆🏻
gayudea,ga kebayang kalo lagi oprasi pasien trus nyalain lagu ini🗿
iwalz,janji ga thumbnail nya tudur 👆😴
klinikdrnas_sepatan,janji ga typ😴
agusszxzx_,pas tidur ketawa anjir
orewaamendouse,ko bisa tidur pas denger lagu it😴
userlr5dx611j5,dokter nya seru
klinikdrnas_sepatan,afh iy😴
d4f4aj,janji ga😪😪
ldpratama,msh gk paham mksd lagu ini ape. kudet bat gue🥺😌
rixzyn,Lah kok lu ga tidu-😪😪😴😴😴💤💤💤
aeritaro,turu 😴
specjack,mau Di apain dokter ny-😴
ariksunyoto.09,ada counternya gak dok biar gak ketiduran
klinikdrnas_sepatan,kaca mata anti tu😴
ariksunyoto.09,kan dokter udah pakai kacama
plermalvin,@xavyerxz @malvin0851 rekomendasi musik pas ketemu cwe
klinikdrnas_sepatan,janji ga jah😴
plermalvin,udertale laguny ser😴😴
xentricks2,dokter gabut moment
uchimaki_kun,padahal udah tidur masih sempet-sempetnya kome-😴
nerecr10,makasih fok sekarang saya bisa tidur sel😴
itsmeerenss,"pas liat video:😂
pas liat komen:🤨"
whdrbbni.12,tiga kali kena fyp kek gini cape tur-😴😴😴
klinikdrnas_sepatan,sam😴
pasyaal_,njr dokternya tidu- 😴😴😴
user902088539,"apa judul lagu ya.
bisa buat senjata"
chamell7k,dokternya malah tawa anj
keanuorlando3,Turu😴😴😴😴😴
slimeforcookies,dokter ketika gabut
dinimelati789,baru juga bangun tur😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴
notyourdazzy,WKWKWKWK [nap][nap]
rzcm4,lah ko-😴😴😴😪
haibanhhjj,lagunya merdu bgt aku ja-😴
lordztt,hari ini ada jad😴
prftks,gak jadi tidur soal nya curiga 🤨📸
gwkls.5.sd.11tahun,apakah kalian siap menguasai Eropa
lord_shinn,Kok creator nya ga tid-😪😴😴
nmvidic,jir
ramobooki,ya b-😴
wizard.ganteng,musik itu kan. .. 😴😴😴😴😴😴
rsdwhyni,wkwkwkwk
monsneedglory,@zynga_jed__ kok tur😴😴😴
klinikdrnas_sepatan,ko😴
syifa_dara2,emng knp sih lagu ini?
nvlveren,dokternya mau diapain bang ? 🤨🤨🤨🤨
bebankeluaraga._,lahh kok tid-😴😴
undermytophat,lah kok tur-😴
hans_r21,afaiyaahh🥱😪😴😴😴
kageyamatobio199,jan di tahan budok ketawa aja
zennnsky22,dokter nya ser-😴😴
ryuuoiiin,dokternya asik ban😴😴😴😴
kristalleoravelin,aku tidak mau di sunt-😴
aryaprwndhip,@Luthfi Halimawan liat Pi akwkawkka
imfajr._,lah kok dokternya tid- 😴😴😴
hanzo_barbar,dokter pas detik terakhir ketawa jirr
raffamaujadianimek,itu dia mau ngakak di akhir🗿
klinikdrnas_sepatan,afh iy😴
sm4lunchhh,@auahgelapp7 euy
makimaa01,@rndii2 turu
rndii2,wkwk
klinikdrnas_sepatan,😴
littleblackcat_21,langsung turu😴😴
steven_rafael55,janji g😴
soullandl,emangnya kenap-😴
usern450iesp90,bebtar lagi dokter di
omashuuu,saya akan kasih ibu obat par--😴
anjymabar21,malah turu
stres818,lokasi nya diman😴
zentheindo,wah admin klinik nya psatir hamda😴😴😴
jordytjioe,Dokter tier S++ Tur- 😴😴
semakinviral138,"dokter praktek❌
dokter turu✅"
bapakganteng2009,dokter kita malah turu😂😂😂
xrafxxxxx,janji ga prot ²
_zaki_393,lah lu lagi
afrrbs,lah kok gw ti...😴😴
fauzan4635,sumuanya kumpulin emot turu😴😴😴😴😴😴😴
revandika24,@ice sugar 💕 kayak suara lu bang😂
klinikdrnas_sepatan,afh iy😴
yudharizki_027,Kok Bisa Git-😴😴😴
rahmad.1102,logat dokternya kek kenal
jsp_y,Dokter tier t
ilham_366,gua tau lagu ini buat 😴😴😴
fire_gaming125,"janji gak tur-😴""😴😴😪"
