User @,Comment Text
123bunda.alvaro,"sangat lengkap apa lagi bagi yg gak tau daerah Surabaya kalo nunggu mau cari makan gak bingung, contohnya sya dri Kediri & GK tau daerah situ"
lianawhy2,"super duper lengkap deh....yg sakit lekas sembuh, yg sehat tetap sehat njajan teroooosss"
mayorichristy86,rumah sakit andalan.semua serba lengkap .paket lengkap di rsphc surabaya
palepalelu,Pertama kali kesini kayak bukan rumah sakit. Yang mau berobat jd ga deg deg an buat berobat disini 🥰
septimulyasari6,terbaeeekkkk🥰🥰🥰
rsphcsurabaya,Dukungan penuh Pak Dirut PT PHC @Abdul Rofid Fanany demi kenyamanan pengunjung RS PHC Sby🥰
itsme.nurul05,bantu salin tautan ya orang2 baik🤗sebanyak2 nya
paluki91,Rumah Sakit berasa Mall... Pasien Nyaman Kami Senang.. love @RS PHC Surabaya
dynienandini,auto sehat liat makanan segini banyak
aserwinarni,"mantapp rs phc, g hanya layanannya yg lengkap tapi fasilitas buat pengunjung jg oke..sukses trs rs phc.."
askysany,all in one 🥰
dynienandini,waaah uda kaya mall yaaaa😍 ngga kaya rumah sakit😍
vdavid24,🥰
irvanprayogo912,@rsphcsurabaya
