User @,Comment Text
bellswen,"btw guys, aku bukan dokter yaa. ini aku, kak nadia alaydrus sm hashfi lg shooting utk @anakkedokteran 🥰"
ares__ares,ok mbak Tinkerbell
ares__ares,lah ternyata mbak2 Tinkerbell dokter juga
cerriwwwiw,mbak2 Tinkerbell 😭😭 tapi emang mirip si😭
zxtaw,Mana langsung ngeh yang mana lagi 😭😭🖐
xltsll,iyaa mirip yg peri bungaaa wkwkwkwkw
mcfluffy01,akunnya yg mnaa
yudhaloml,Rosetta wkwk
yudhaloml,"eh iya ga sih, gw jg lupa"
444.loveu,hahahahha rosetta😂😂
agnazi_,Rosetta ga si nama perinya?
bellswen,"kirain “mbak2 acting” udh paling lucu, ini “MBAK2 TINKERBELL” YALL BYE-😭😭😂😂"
ares__ares,AHAHAHHAHAAHAHA
rotiii.bakarr,bukan
mytea.yourtea,bukan dokter
dcrtion,WKWKWKKWKWKWKWK MBAK MBAK TINKERBELL 😭😭😭😭😭😭😭
makaronenaktau,bukan Tinkerbell tapi roseta
ares__ares,yaudah kan itu di film tinkerbell
babyvykz,@nezalva mba mba tinkerbell 😭
clarissayusline,bukan
oopspositionsctrl,@bella arswendita. OMG U DOCTOR
ares__ares,yang ngerawat tingkerbell waktu sayap nya ilank
oopspositionsctrl,r.i.p 🕊
itsgzez,"@bella arswendita. ka bella dibilang mbak"" tinkerbell"
xyszible,mbak2 tinkerbell😭😭✨
0o0o0o0o0ooi,@kucingkudaa
resusernol,"@bella arswendita.:btw guys, aku bukan dokter yaa. ini aku, kak nadia alaydrus sm hashfi lg shooting utk @anakkedokteran 🥰"
annisahahahaha,ngakak hahaha tapi benerr
yenitad_,wkwkwk mba mba tinkerbell ga tuh😂tp bener mirip si
regitafjrn,HAHAHA MBA MBAK TINGKERBELL😭😭😭🖐🏻🖐🏻
ares__ares,lah gw tinggal tidur rame
nununuyycomel,mbak2 tinkerbell😭😭😭 tp emang mirip si wkwk
inya.aw,bukannya doi penyiar?
9.glossopharyngeal,mba2 tinkerbell🤣 aduh gini doang gue ketawa😭
leanaaavv,🤣🤣🤣
hainoname90,"Mbak2 tinkerbell dong 😂, beneran dia atau beda orang sih?"
straykidz232,iya emg dia. tp jd mirip roseta tinkerbell atau siapa si itu pdhl kesukaan gw tp lupa
pecintayutawoodz,"engga kok dia anak ilkom, gue pernah sekelas sama dia ekwkek"
nikinishimuya,dia baikk gaa
daiwnty,"WKWKWK noo she’s not, dia penyiar radio"
lovelydrenjun,ANJRIT MBAK2 TINKERBELL HAHAHAHAHAHAH
sjcore,HAKAHSJAHAHAHAJA TINKERBELL
user008075315979,sianj 🤣🤣🤣
acooo613,lah gua baru tau si cewe itu dokter juga tah?
aciaannaa,"nope. kalo ga salah itu ka bellswen lg ada project sm dr. hashfi sm dr. nadia, trs ka bella jg ikutan peran jd dokter. gt hehe. cmiiw"
fahmhr,Mba2 Tinkerbell ngakak😂😂😂
tuturbicara,kirain dia penyiar
u_dan_g9,dia emg penyiar prambors
joonaily,dari persejarahan gw jd nakes ga pernah liat dokter nginfus 😅
iffanata,sama kecuali koas w pernah liat
kamukenapa35,Samaaaaa😂sedaruratnya bapakk gw masuk IGD yg pasang infus slalu perawat / dokter koass nya
yipiiiiieee,gw sering
giantyrahmi,"Kewenangan bersama kak, mau itu perawat atau dokter, dilihat lagi apakah dokternya/perawat yg lain sedang sibuk jadi yang ada aja biasanya. Cmiiw🙏🏻"
joonaily,"kalo saya kuliah dulu hak dan kewajiban perawat ga ada pasang infus si kak,nginfus itu penyerahan kewenangan dokter ke perawat"
giantyrahmi,Tetapi setau saya di dunia kedokteran juga tugas menginfus itu dilakukan bersama entah dokter/perawat. Jadi gak melulu tugas perawat ga melulu tugas
giantyrahmi,Gak melulu tugas dokternya karna mereka parner kerja
joonaily,taunya mbak dari teori siapa?
giantyrahmi,Waktu jaman mahasiswa kedokteran dulu mbak pernah dibahas
joonaily,"coba mbak baca Pasal 65 (1) UU TegKes, Pasal 29 (1) UU Keperawatan, Pasal 16 permenkes 26/2019"
joonaily,"pasang infus,kateter,NGT,injeksi,kumbah lambung,rawat luka,jahit.itu tugas dokter yg dilimpahkan tanggung jawabny ke nakes lain"
giantyrahmi,Udah saya baca semua tapi gak ada tulisan yang menyudutkan kalau tindakan infus harus dilakukan oleh dokter(?) kan saya bilangnya jg dilakukan bersama
giantyrahmi,Mba nya ini kenapa ya? Kaya gak iklas bgt gitu loh😂 dokter perawat itu kan partner kerja loh mereka setara😂😂😂😂😂😂
joonaily,"emang saya bilang infus harus dilakukan dokter?tindakan2 yg saya sebutkan itu tanggung jawab dr yg serahkan wewenangnya ke nakes lain,it's mean-"
joonaily,"prwt/bidan yg ga punya tanggung jawab untuk melakukan hal2 trsbt.and thats not ""tugas bersama"" yg mba bilang"
joonaily,"coba mbak baca lagi,nakes lain boleh melakukan tindakan tsb kalau ada pelimpahan delegatif/scr mandat"
giantyrahmi,Ok deh mba. Nanti lain kali mah pas di lapangn coba atuh blg ke dokterny “dok itu tugas dokter bukan tugas kami” biar dokternya yg ngerjain semua😂
joonaily,"y emang gitu ga si? kalo di IGD kl dokternya bilang harus di infus ya nginfus,d ranap jg gitu.kebanyakan dr.spesialis sll mnta tolong/advice(delegasi)"
giantyrahmi,"Loh iya itu kan pendelegasian gitu kan, dokternya meminta tolong nakes lain mengerjakan? Ini apa dr td mksud mbanya sm saya beda jangan2😂"
joonaily,ato mba nya yg ga baca baik baik sampe keluar kalimat sudut menyudut 😂
giantyrahmi,Saya pun gada menyudutkan profesi mba juga loh. Saya cuma bilang tugas bersama dan sudah dikoreksi sama mba bahwa itu tugas dokter.
giantyrahmi,Dan sudah tidak di perpanjang lagi🥲
joonaily,"yg malu mba nya, udah di jelasin jg biar orang awam jg tau.mba nya nakes jg harusnya tau hak, kewajiban n tanggung jawab mba apa."
giantyrahmi,Terimakasih mbak perawat. Saya bilang di pc aja biar gak malu diliat orang kok katanya sesama nakes tapi malah adu mulut begini. Tp terimakasih infony
joonaily,"g niat adu mulut,tp mbak nya keluar kalimat ""sudut menyudutkan"" dan ga cerna baik2 tiap kalimat.thanks"
giantyrahmi,Siap salah🙏🏻. Mending kita hapus deh ya mba yg ini ga enak dibaca org2😂😂
.yuken,Yess
veronica10.72,"jdi ingat kmren di infus. sdh di cucuk berkali"" smpee ad yg biru tngn ku. g bsa"" sekali dokter yg galak yg infus bru bsa😁😁"
meliimnida,Biasanya anak perawat magang
veronica10.72,lainn kaa. dia mmg prwat dstu bjunya wrna merah apa yh namanya lupaa 😂
verdb_young,Wkwkwk sama kalo aku sama perawat senior gitu udah 4 kali si perawat cwe ini cari urat aku tpi ga tembus2 smpe biru eh sama yang senior cowoknya bisa
ndyansya1,"nenek ku juga pernah kaya gini, sama anak koas, sampe bengkak tangannya gara2 salah terus infusnya sampe berkali2. Ampun deh untung sabar nenek ku"
xyse._,"mau transfusi, lagi dehidrasi, diare jg, lagi full puasa pake selang makan, pas mau diinfus ga masuk2 akhirnya kk senior manggil org igd dan bisa😂"
ratnayunt,klo lg dehidrasi emang lumayan sulit kak buat di infus krna pembulu darah Ny gk keliatan
veronica10.72,ouhhiyaa kahh. kmren jg grgr dehidrasi. smpe di tanya g prnh di infus. pdhl sdh sering ke rs itu jg 😂
xyse._,iya sy jg paham wkwk
gfleviackermannnnnn,"ponakan aku juga waktu umur 5 bulan,trs di rawat sm suster nya mau di cek darah tapi darah keponakan aku ga keluar’ sm suster nya tetep di paksa trs"
gfleviackermannnnnn,"sampe tangan keponakan aku bengkak, jadi gabisa di infus dulu, sampe bapaknya marahin susternya"
veronica10.72,aduhh kesiannn🥺
richankurenai,"kak perawat ga akan maksa klau keadaan keponakan mu ga di haruskan pasang infus,pernh kepikiran g ponakan mu lg dehidrasi berat jd susah di infus"
wiedyamp,"Betul, aku di infus krn udh dhidrasi parah, apapun yg msuk psti d mntahin saat itu jg, klo smpe nggk diinfus bsa gawat akutuh🥺"
richankurenai,"nah itu klau udah susah di infus pasti bisa kemungkinan dehidrasi aplagi ini ponakan dia umur 5bln,bisa lewat,org dewasa ja bahaya apalagi anak 5bln"
gitast6,Bener banget
mylucky_girl,"biasnya Vena kakak yg susah keliatan dan Alus bgt, ato kondisi dehidrasi bisa bikin lebam juga kalo Vena pecah."
