User @,Comment Text
imhurts3,"gua yang takut sm kursi roda, tempat tidur pasien, ambulan, kamar mayat 😭 masuk rs aja hawanya uda beda jir"
syaa__49,hahah bener😬
nay.___________,Mana hp nya lobet pulaa🤣🤣
rezalimited,opale
arminarltt,baterai lu juga sekarat 😭😭
itsaxolotl96,"entah kenapa gw taku aja gitu liat barang medis, kek kursi roda, sama glindingan tempat tidur wkwk😅"
takiaatha_,"maaf kemarin teman"" saya lagi konser d rumah sakit😊🙏🏻"
fadlycharito,pll@lll
yuk18_,abis itu pake backsound horor kan tiba tiba jumpscare beh ajib
itz.you13,GUYS JANGAN ADA YANG TIDUR YA. BARU JAM 02.11 BELUM PAGI KOK #ketemulagi
anayuana71,"itu yg merah"" belakang lu org kan?"
sel_ly15,yang dibelakang itu apa ya kok kayak orang berbaju merah😑
bontotgajdi,kya rs plni petamburan sumpah😌
bukaneditorpro1,itu di RS PLNI bukan
christian_krisantus,"Kenapa RS nya serem gitu, kek RS kosong 😁"
nicomartens26gmail.com,itu yang lampu Jedag jedug setannya lagi DJ kali 😅
beybi03106,"gue pernah salah buka kamar,
gue ntah knpa buka kamar itu, niat nya kan mau jenguk nenek lagi sakit,
eh salah buka kamar,"
beybi03106,"terus pegang gagang pintu kan, sumpah itu tangan gue bau banget, gue basuh berkali kali ttp aja bau🙈"
beybi03106,"terus gue gak liat kan nama ruangan nya,
ternyata kamar mayat🙈🙊"
annaaakayyi,aduh pasti merinding banget tuh
calssy3,fix guee gtuuu jugaaaaa😭
ilhamhandanu,uda sih ini mah🤣
marwah_1309,gw banget kalo di lift langsung wa temen dulu baru vc baru masuk lift yee kan @xyilinfub 😌
komangayuuu_080410,"gw pernah lewat lorong itu anjir😭udh banjir,ujan deres,lampunya nyala mati,untung ada abang yg nemenin😭"
raracute126,kaya rumah sakit angkerr
p_635362,minta pak ustadz nemenin😂😂😂😂😁😂😂😂
kyrzkyyy,saking paniknya nlp tmn ampe maskernya nyengsol begitu
loina24,cara ngeditnya gmna😌
ysj_110,"semalam baru aja jedag"" gua ma temen auto kabor👨💔😊👍"
gaboet.ajaaa,"Gue vidcall temen, malah tambah di takut2in 😅"
dlvnrbrto,Siloam lippo fix
dewiiara10,"kakkak rumah sakit nya kaya pernah liatt tahu
🥺😳☺️🙂"
zefffawinson,gak kebayang tiba-tiba dari lorong depan ada yang loncat😂😂
bobasqanud_,"gua pernah begadang dikamar paling depan dan sendirian,nah kan temen gua juga begadang akhirnya kita chatan nah dia bilang gini itu disamping lo ada"
bobasqanud_,"disamping lo ada siapa trus gw bilang,jan nakut²in napa,dia malah bilang,mbolo²,maklum orang jawa jadi bahasa nya campur aduk😂ruang lampunya dimatiin"
user.xiyela,"terus temen-temennya bilang ""awas dibelakang lu ada ..."""
vividvile,lari aja ngab💀
bungara01,kenapa ga bawa spiker buat murotal al quran jadi kamu gatakut lagi tapi suaranya di kecilin aja jadi ga ada yang ngikutin atau ngintipin😁😁
danz_095,jm 2 mlm malming dikepung polisi gbisa pulng paniklh msa enggk
dellacahya00,gw yang takut aja gitu sama rumah sakit jangankan masuk lewat aja gw merem wkwk
new_kechik,panjang umur yah bang Mama nya salam dari pasuruan😁🙏
nyankodikatama,untung lagu nya gak serem
_kay.yisa_,langsung nangis di tempat gw kalo di situ
yinnn_iyin,positif aja mungkin hantunya lagi dance😌
_xysaax,@hilmykkkkk setiap rs pasti ada kamar yg lampu nya nyala mati😭
mz0.gr,aku pernah salah turun tangga awal tangga yang satu pas balik tangga yang Deket kamar mayat terus lampu nya jedag jedug@apriliariffa
catiesv,cass hpnya bangg🏃🏽‍♀️🏃🏽‍♀️
gppapapa0,"untung aja fyp nya malem""😌jadi takut dehh💔."
alolipopss,"jujur gw suka suasana rs kayak adem gitu, tapi kalo rs modern, kalo rs jaman dulu beda lagi"
kittenscakes,"Saya pengen jadi seleb
saya mulai dari nol
saya edit sendiri
saya butuh suport dari kalian🥺❤️"
ntselalu,knapa jalan nya santai sekali?kalo gw disitu udah ngibrit lari😭
curtsyling,@jodohmu983 @pacarnyanamj00hyuk 😭
zhwaalmghfira,Apa cuma gw yg takut Ama kursi roda 😇💔
t.prlx,@lopyu012 😭
shabrina751,I-itu k-kan rs nenek ku yang di rawat dan sekarang udah meninggal🙂
fauziah15272,aku juga kaya gitu tau kak aku pernah ke gedung kosong ihh serem isinya darah darah semua
ciaayann,panik gak?panik gak?paniklah masak ngga😂🤣@beatrikseca
amahreal2905,kak itu kaya rumah sakit kartini
neivaaddictedtojisung,kyknya dharmais ya atau bukan pasti bukan soalnya itu kalau dharmais itu tempat nenekku dirawat tp udah ah sudahlah🥺
yarsuq,pasti rumah sakit Capcut Mandiri
bbysxf,rs cipto bukannn siii?
fayyyy333,@nainaghina beuh waktu gw dirumah sakit dulu mati lampu sumpah gw ketakutan banget mana emak gw tidur sama kakek gw
123aufa00,"DUH KALOU GW JADI LU BG MUNGKIN DAH KOCAR KACIR GW LARI KARNA TAKUT
GW PALING NGGAK BISA KALOU KE RUMAH SAKIT
HEH PHOBIA GW BNGT😌"
