User @,Comment Text
atharrazkag11,sangat mau di kretek² tapi gak tau tmpatnya area makassar😌😭
tanstittar,Oalah😭😭
user5955969726563,iya betul ada Ndak area Makassar 🙏🙏🙏
atharrazkag11,ada gak master kliniknya di makassar?
mahendanggara,@PerawatanTulangBelakang
nurwasiyanti,buka cabang di Jatim dong🥺🥺🥺
vedanava,oala..dmnaa nah d bppn
mama_jihanputra1,Jepara donk
landwulan21,@perawatantulangbelakang itu di makassar 😅
darunis4lhafidzy,ad jg d BTP blok M
atharrazkag11,di bgian mana bang? blok M nmr brapa? atau apa nama kliniknya?
darunis4lhafidzy,"zein holistic therapy. BTP blok M no. 4
sy jg liat d tiktok. rencana mau ksana jg buat kretek tulang"
fachryfhrr,apa nama tiktoknya?
rintjeiskandar2,tepat nya dimana ka
lydianatasyapesik,ada tiktoknya jg cuma dia pindah²
almiafanxnn,"sama, klo kita dpat. tag ka nah kace"
elvimonica8378,"andae disini ada pengobatan kaya gini, pengen juga di obati..🥺🥺"
soge_kingg,ini di makassar kak @PerawatanTulangBelakang
outfitijah_,ini dimana si😳
nyong_pace,@PerawatanTulangBelakang ini akun Area Makassar
nhaaridwan,makassar ada.. depan coto gagak
panggilsayanuuur,@PerawatanTulangBelakang ini area makassar
panggilsayanuuur,di makassar ada weh
sederhana_male,suhu... kpn buka cabang di jkt??
tanstittar,Soon yah🥺
kenalfaris18,kan dia dokter?
iisajh_,master kapan buka di Lampung
tanstittar,Belum tau nih🥺
tanstittar,Ada yang sama?🥺
renggaakhmadi,di surabaya ada apa tidak pak
tyaozzzchuy,assalamualaikum🥰ini dimana ya kak
tanstittar,Pekanbaru yahhh😁
ariska_nana,saya juga mau dikretek master 😁
tanstittar,Sini yuk🥰
faturk3ren,Pekanbaru dmnya min
wongh_,kapan ada di bandar Lampung 🥺
lordmartin46,kira kira kaki later X bisa sembuh gak ya
astriiiieeed,dibalikpapan adakah?
liaaprillianti1,di surabaya ada g ya😁
aditagustian1208,"dokter aja brobat, apalagi kita yaa. pgn bgt sumpah digini😌"
potatorebus99,DOKTER🥺🥺🥺
10oktober_1996,dokter berobat ke suhu dokter wkwkwk
mangamovie,lah dokter kok sakit 😂😂😂
mbaagus_,ini dimana si? aku pengen bgt kaki kadang suka sakit berlebih🥺
mawarm_03,saya jugasering sakit bagian itu karna beberapa bulan kemaren sambungan ke tangan patah. apa bisa di sembuhkan oleh master
asdhul39,dokter itu tetap bisa sakit juga 😁😁😁
aepsaepulbahrilas,"ini yumeho yah, karna trapi nya sama kya tetangga sy"
fia230776,jakarta barat ada ga y
myirra,pengen 😳😳😳 ini dimana ya
hr.rie,ini daerah mana ya
ovianita99_mumu,buka di jawa kapan mr. dikudus ada ga ya?
agusmellani,di jawa tengah ada nga
wahyuuningsih3,"lokasi dimana om ,"
widhipbg429,praktek nya dmn biaya berapa mohon infonya
ssaaahottman,"dimana tempat praktek ya pak,untuk ngobati maslah lambung bisa kira2"
erlinamulyasari72,Master kapan ke Jakarta atau Bogor?
putribugis55,kapan buka di kota Kendari Sulawesi tenggara..?
kaptenri05,nunggu di medan aja deh
iramasurya,mas kpn bk d medan marelan
yakinjaya,daftar Nya kemana????
auranatasya04,tempatnya dimna ini
bhektiarios,tempat prakteknya dimana
user4302035818503,gak ada daerah Surabaya kah?
kang_rekomend,pengen bgd diginiin
kusmadi374,andai di Ngawi ada😔😔🥺😭
blackswaniee30,ini di daerah mana pak? Saya mau bawa ibu saya kesana
oktaningtyasdyah,dibekasi ada gaa sih suhu?
rimarima9585,kalimantan selatan ada gak yaa
arina.123_0,lokasinya dimana sih
fathan_mk,tangerang ada ngga
iyam_solihah,Makasar Bandung aduhhh jauhhh
setex666,ada cabangnya di palembang gak pak
irma_n.y,Bandung ada gk ka
adreena494,Master kapan di Surabaya..???
juminte37,master dimana tempat prateknya zaa
abikhafi2005,ku gk tau tempatny
sella78.18,ini di mn ya pingin aku
indahdisaatnya52,Depok Jawa barat adakah
user1115745737253,di tangerang ada gak sih pengobatan ini pengen bangett🤔🤔🤔
kartinijustantiikaputeri,kapan ada di bali ya
ernisitompul3,di medan ada tdk pak
iin_chann,semoga ada di kalsel
teteh_vina,pak kapan nih ada di padang?
adellafara,bukaaa di samarindaa plisss🥺🥺🥺
bang_glodak,Medan ada Kah?
diyasyantik85,kapan hadir di Sidoarjo😁
iman_guntur77,di bandung ada kah ?
nyonyaromero,Kalimantan Selatan ada gak
santii520,tmpat praktek y ka🙏
satriario93,di surabaya kapan ya master 😢
fikalestari100491,Ya allah coba klw disurabaya ada 😌😌
hernyfauzi1,Tangerang ada ga yg sperti ini ?
lalamuliana,Suhu Kabarin kalau ada di Jakarta 🙏
assyanura,dikarawang jawa barat ada gk ya
hendrioktavia,dokternya cantiiikk
jojo_duren88,d jktim ad ga min
MS4wLjABAAAAjUt-zinMzURP7MM9i1QRJM2fJIpJb0yQ8mTuOUkPRG4UYHsyNk2rZeS00fKidpSi,di jakarta ada ga pak
_semesta04,Lampung menunggu...kapan suhu...😳😳
