User @,Comment Text
hananailla95,"dokter kandungan baik,dokter anak baik2 jaman skrg dokter gak bikin anak jerit jerit🥰"
okta.fira,gimana asistennya dokter spesialis??🤗🤗 @lena qodryah @Gaia @Eli Ramida @citranovayatmi @nopia18
lennaajja27,yeay ... I'm so happy 🥰😍 yeey ..... 💃💃dokternya baik²
ayue422,dokter skrg sih bisa jd teman buat ortu pasien ..aku jam brp aja klo mau konsul dgn dokter anak pasti di respon baik ..🥰🥰
trie.chubyku,aduhhh..aku ga di ajak KK🤭
annypurwaningsih,kuy
trie.chubyku,aku di belakang bayangannya nyusul kk😂😂🤭
erwindoong,cie kaka
kentangmcd.24,gae iki pisan @dicann7
cancer.898,"kenapa dokter spesialis lebih ramah dan baik² yaa,,, sumpah aku senang kalau dah ketemu dokter spesialis"
anyeskusuma,aku juga pingin jadi dokter
useralvin82,"dokter nya Baek banyak pasien kak,kalau galak malah kasian pasiennya"
arifbjm187,op apa SP.AN anny
annypurwaningsih,spesialis anestesi ya 😁
eliashakiep705,mbaakk
deladellia1,sehat2 kalian🥰
maminoni_roseangela,hadir... kk dokter...🥰🥰🥰
cancer_24junie,salam sejawat ya kak sama dokter. kebetulan semarga😊
277_leoina,haiii salken
bohay7888,dokter sodara nya dr Rudy napitupulu ya dok
jengsri275,keren dokter pasien nya sembuh semua lihat dokter ceria bahagia sehat selalu dokter 🥰🥰
...esty,sefrekuensi kita kak wkwkwk nyaman sama dokter walau nanti akhirnya di ghosting
annypurwaningsih,nah nah nah 😁
litaziliwu1,tp sampai skrng msh ad dokter yg gila2 hormat😏
rysa_orienz,iya jelas dokter galak gak bakal payu 😬 diklinik aja tiap ada pasien dtang tny dulu spa dokternya 🤭
annypurwaningsih,gitu ya kak 😁
dewintaayup,🥰🥰
