User @,Comment Text
baridong,sama aja boss sama ketergntungan lah seumur hidup...saya ingatkan ya para wanita lebih baik asli aja g usah pake pemutih2 asli dri lahir aja .😅
cantikamaulanaa,duh kasian muka nya ga pernah dirawat ya. 🤭
siapawemoal,belajar ingredients dalam skincare deh mba jangan taunya merkuri doang
mimiecandikacaca,kulit butu asupan vitamin dn cream2 yg sehat2 kalau punya uang kenapa tidak
kayekayekayekayek,"bisa bisanya komen gini dilapak dokter kulit :""))"
naads_,lah perawatan emg ga pake pemutih kok cm buat kulit sehat aja kasian deh
lemakjahat97,lah mbaknya juga pake merkuri😳😳😳
hahahihidikuliah,"gausah mandi aja kak,bikin ketergantungan nanti bau lagii"
irvan_istas,Ngakak aing astaga 😂 savage betol
yeti_ani87,"bkn pemutih kakak tp lebih tepat skin care, di rbh mindsetny perawatan tu bkn white skin tp skin car"
nda0165,dia dokter mbk pastinya dah tau ngerwt mukanya sendiri😏😏😏
acellllle,Gapunya duit mundur sayang😏
redvelv99,kiloan skincare lo?
meyyy1409,awas kalau kita ketemu kamu menor wkwk
xwodsky,Pasti taunya merkuri doang ya umi
caresaliaa,"lah klo kulitnya mulus2 aja mah gk masalah, yg masalah yg kulit berjerwat kyj saya, menangis klo gk di rawat😭"
inkkkkk3,"yang nama nya skincare gak ada bikin ketergantung, skincare itu kebutuhan. belajar cari tau tentang ingredients yuk jangan taunya cuman pemutih doank"
dinda_cg,@- 🌼 🍒 b a e k k i n g 🍒 🌼:skincare itu kebutuhan layaknya makan dan mandi😌
heyyoooo345,"kita punya berlian, berlian nya dipajang aja gk diapa apain pasti bakalan berdebu, klo kta rawat pasti bkal terawat berkilau, sama halnya kayak wajah"
hai_cewe,"sama seperti rambut Kaka kalo kita rawat dengan keramas rambut jadi bersih dan wangi
kalo ga keramas nanti lepek kusut bau Buriq,, nanti rambutnya 😅"
prawanjaitan,muna bang3d😅😅
faisal.img,"saya ingatkan ya, semua manusia harus menyanyangi badannya, dari atas sampe bawah, merawat pake skincare ya salh satunya :)"
shoimahjuli,kalo gue kasi gratis sepaket skincare kualitas bagus lu mau? 😳
pipileana,"ini nihh yg bikin suami selungkuh ngelirik yg di janem""😂..
setidaknya kalo gak mampu yg mahal perawatan perlu lah pake bahan alami bisa kok dari buah"
