User @,Comment Text
iqbaaaal___01,mungkin di rs itu infusnya pake sanyo jadi nyedot sendiri 🗿
setya_jaya,nagakak😭
leogirl593,😂😂
buatkalogabut,@sserrlii
punchbee,@gbrlfk
maratunsholiha6,😂😂😂 Astagfirullah halladzim 😭
ilun_23,😂😂
playerbot46,Bkng sanyo bang mngkin itu shimitsu bang yg otomat
dipanggilday,@qreenthea
qreenthea,WKWKWWKKW KEBOLAK INFUSNYA 😭
ka_a_te,😂😂😂
cyber7878,njir komen lu bikin ngakak😅
cutiebear1985,😂😂
athoillahibnu,@alfinnurabid 😭
farsaelouvre,@ringga_n tolong bgt😭🤣
ringga_n,lukira gimna
masak_di_kuali,@twinnyuse
errormaybee,@Viola Azzuhra225
queenbabyalways,😂😂
jayantirihi,😂😂😂😂😂😂😂😂😂😂
ngsuiquanghermanto,hanya org sumatra yg blg sanyo..😂😂😂😂
aprilmei83,dimadura juga sanyo meski merknya shimizu
windyedogawa,bener jg 😭
queenfatbee,ya gak sanyo juga😂😂😂🤣🤣🤣
rika_permata,ngakkakkk😂😂😂😂
rey2691,pake pelaron Rucika gak sih airnya deras🥰🥰
twonottoo,kepikiran aja
maunggeuliiis,Anying wkwkwkwkwk 😂😂😂
anix564,😂😂😂😂😂😂😂😂😂😂😂😂😂
arayfan29,wkwkwk
bimbimbappp19,😂😂😂@colourmelilac
diahod.2,@lyonn99
marchtwentytwo00,tau ah cape😭😭
afrianto087,"iya ya ya,,😂😂😂😂"
fitri.tampubolon5,ampunn ngakak pas blom makan😂😂😂
rhafaqueen.92,😂😂
kucingpantai,😂😂😂
lusigawoh,😂😂😂😂😂😂
inajnauya,gw lagi minum 😭please lah kesedek kan
masandai93,😂😂😂
maisyahdaughtermaisyahd0,aku izin ketawa dulu ya 🤣🤣🤣🤣
its.marie.me,hahahaha tambah ngakak
pwxyz.rsh,@fitria846 @febylabisatrio @gigiaga.id
hizma90,heh nguakakak
dhanymo2,😂😂😂😂😂
dewiharum819,Iya aku juga ngakak pas lihat infus nya kebalik😅😂
winda_agni,receh dimulai 😂😂😂😂
mamaazzam1946,bgni aja gua bengek[laughwithtears]
ibundamyshaarsenamoorea,😂
karinrafandha,🤣🤣🤣🤣🤣🤣😭😭
prasetyodipo,nyemprot kahh😂😂
