User @,Comment Text
jentlemanta,your older sister…but she was admitted to PICU? are you fr
moonblablah,"at the time my sis was 17yo, also kondisinya jg udh urgent dan klo blm 18thn msknya ke PICU, kata my mom^^"
indydydy,"halo dek, sebelumnya turut berduka cita ya. mungkin aku mau menanggapi dr sisi medis ya. 1. ur sis masuk picu mungkin pertimbangan krn kritis dan—"
indydydy,"ruangan rawat ICU covid untuk dewasa udh full. kenapa di icu/picu covid? mungkin gejalanya ada ke arah sana, atau hasil labnya ke arah sana. 2. VC—"
indydydy,Vc dimatikan bisa aja karena saat itu kondisi ur sis gawat bgt maka mau dilakukan tindakan2 emergensi (seperti RJP dan bantuan nafas). karena—
indydydy,saat tindakan2 emergensi dilakukan gabisa sambil vc. 3. Aku sadar bgt sih saat kasus covid meningkat emg pelayanan medis mungkin bisa ga maksimal—
indydydy,"karena pasien saat itu di RS manapun sangat membludak, sehingga sarana prasarana dan SDM jg gabisa maksimal"
jentlemanta,"okay, I’m so sorry for your loss🤍that comment was a bit insensitive, I’m really sorry🙏🏻"
sususapiiiinasionallllll,"im sorry for your loss 😭😭😭 kayaknya perlu di spill deh, bahaya banget pelayanannya itu, masa gaada kabar apa"" tiba"" dah ditinggal begitu aja 😭😭"
moonblablah,"mau spill tkt bgt, tpi bisa diliat tulisan di awal vid itu udh jelas ko rs mana😣"
dineekeisha,rsup persahabatan kah?
butterpurple0,rscm?
mommyasfaarra,rspp?
afn29_,fatmawati ya ka😳 im sorry for ur loss 😢
sutjiptok,rspp bukan rumah sakit umum... itu punya pertamina
sutjiptok,kayaknya rscm deh
livchl_,"hai, ternyata kita sama. kalo aku uwa ku gerd tp malah dibilang covid, sama sekali ga ditanganin padahal udh parah. uwa ku meninggal gtu aja pas d rs"
livchl_,dan keluarga ku baru di kabarin 5 jam setelah uwa ku meninggal oleh pihak rs
nadhifaudrey13,"Bener ga segampang itu buat spill, bs dibalik nanti malah dituntut pencemaran. Inget kasus Prita kan dulu🥺"
ssslllaaayyysss,Cipto?
arisantiivan25,fatmawati ya :”))
hambakj,"spill RS nya, RS dijakarta banyak"
sakaromises0,i think rscm soalnya kan jakpus
dineekeisha,oalaa
jejenabbb,persahabatan yaa?
uthe_aja,"persahabatan di JakTim
kyknya RSCM"
dineekeisha,iyaa rscm katanya
bersyukuradasenja,rspp kayanya ya
hannaafettyr,rs swasta apa negeri ya?
moonscent7,"rs fatmawati di jaksel, kalau jakpus pasti rscm sih"
permenasem11,"rspp mah rs pusat pertamina itu bukan RS umum tp RS punya pertamina, pelanayan jg gak main2. banyakan pake asuransi disitu"
heheheheheh411,"sill please kakk, biar gak ada korban lagi atau seenggaknya orang tau kalau ada apa"" jangan ke tempat mereka"
abilajanuariska,Rumah sakit umum pusat segala pusat termasuk pusat rujukan dll; rscm. Yagaksi?
aivzxy,@mira.jpng
daawiy,Puskesmas yang dateng dirumah disuruh jawab kalo nyokap gue udah selesai isolasi di rs itu
ickacku,Antara RSCM sama RS Fatmawati
hey.monje,Rumah sakit umum pusat?
suzacz,fatma ya?
daawiy,Tahun lalu nyokap gue jatoh dari kamar mandi gak bisa jalan terus dibawa ke rs deket rumah eh sampe sana malah di covid in tanpa di tes apapun terus..
daawiy,Terus ditanya surat hasilnya ada engga malah alesan ini itu
kabelusbtypec,Siloam gk sih
innayha,siloam swasta
mungyung,tapiii emng pas covid lagi tinggi2nya semua seperti itu. omku di rsud.11mlm masih wa sm anaknya minta minum. trus gada kabar lagi jm6 pagi udh gda
acexxxx_,"emng itu sisi gelap RS kak (jahatnya RS), tp cb sekali"" spill RS nya biar ga terulang lg kejadian spt itu"
zenlise74,ga bisa spill ka ntar kena kasus susah😂
cemilansuami,Rs umum jkt pusat
rawrdhndr,"Sama kaya papa aku, juli is the worst month for a lot of people. Sabar ya cantik"
amyzaitin,"sama Kya kakaku, aku kehilangan dia dbln Juli pas covid lg tinggi"
novitasari528,"sama.juli kehilangan sahabat terbaik 🥺
mestinya ada yang bikin lagu Juli Sendu 🥺🥺"
lalaqueenofthedark,Same 😭😭😭😭😭
della11123,semangat kak🥺
andiniicy,aku jg kehilangan papa di juli 2021 kak
nuhanejem,same! july was the worst month 😩
