User @,Comment Text
nadyamgdlnn,"Guys ini aku pake untuk bagian atasnya aja yahh (bawah perut), buat pertengahannya pake gunting sih, krn gak berani kalo pake cukuranpun🥲"
ulfalatifah80,wah apa kk di perut juga tumbuh rambut saat hamil?
nadyamgdlnn,apakah kaka gatau ada usg transvaginal yang bukan cuma lewat perut doang?😅
rny.dn,kak pelembab ny pake apa?
abee.y,@kstrniss takut tambah dewasa
claraswannn,sama🤣
ratuuuuuuuuuuuuuu_,kak spill shopeenya plis
suciwahyuu,@kv
ferranaaa,Sampe gundul ga mba?
nadyamgdlnn,Enggaaaak
18putrimoes,"aku pernah cukur gundul si hutan rimba nya, pas tumbuh masha allah gatel2, sampe skrg troma saya 😅"
destyayu02,"ga bakal gatel ka klo cukurnya ngikutin arah bulunya, aku udh biasa botak😅"
gakkmaufyp,"Uda gatell trs perih kyk dicucuk cucuk gituu yaallah,aku jga trauma..kmnaa mana jln smbil ngegaruk+nahan perih😭😭"
18putrimoes,"haha bener bgt, skrg cuma di pangkas dikit pake gunting aja 😅"
whiphiphype,biasa nyukur pake apa kak?
destyayu02,"pke cukuran yg pink itu, apa ya namanya yg ada di indo/Alfa. yg sebungkus dpt 2"
huangrey,jadi cukurnya kebawah gt ya kak?
destyayu02,yes
ddipaaww,sama aku jg pake yg pink tp skrng dah jrng beralih ke wax
chocolatemilkyy23,emg keliatan kak? kan perut lagi melendungg
nadyamgdlnn,"Itu makanya ada kaca kak, jd liat kaca gitu WKWK atau kalo suami adaaa mnt bantuan paksuu"
summerr_light,kak pelembabnya pake apa? makasihh
puttpratw_,"ada suaminya juga mba wkwk, kali sama suaminya😅"
xpgxs,@moshilollyx rimba🌳🌳
haicapekysama,emangnya ngga boleh ya kalo di bagian itu?
louisedarkk,sma di perut juga ada bulunya☺️
bellala.05,spill tutor pemakaiannya ka ditangan ato dikaki gitu🥺
wulansa0611,pliiissss jangan ada yg kasih foto testi after pemakaian yaaa 😭😭
jevoislavieen.rosee,Trauma ya mbak😭
yeonwoo2970,emnk pernh ad yg testi ya😳
aliyyeeeeen,diingetin lagi 😭😭😭😭😭
ismifidia_,😭
punyaikaandrew,Msh trauma ya bund😌
yay_601,astagfirullah kaan ngakak lagi dan ke ingat lagiii[excited][tears]
rindyrizal03,wkwkwkwk ngakak😂
18desember.ultah,😭😭😭😭@_nopi.id
ayangnyaaldii,@tbls123 testi pemakaian
woeyyy__,😂
argafta_11,@laxjng
4firzyq,@siapasajabisa__ 😭😭
siapasajabisa__,😂
taniaaa66,hahaha😂
nnslwpwpdm,hah? emng ada😂
____guurlwtluv,@justmee336
sherlyagstia,Padahal dalupa 🥺
megayuniarti0,Heh wkwkwk 😅😅
aretasalma08,😅😂
teumegz,heh yaallah nangid
yogisp32_,ahahhaa membekas sekali epribadeehh😂😂
groove28,😂😂😂😂😂
haii98_,ngakak wee😭😭
n_otfound11111,HAHAHAHAHAHAHHAHAHAHAHAHAAHHAHAHA
lindaaass8,Benerrr 😭😭
...ilysmmmm,iya bkin trauma plz 😭🙏
dewiarraffi,"yg ibu2 itu yah,, aku prnah baca tp ga liat😂"
harimau_9,jadi penasaran 😅
ucidahh,haha baru tau USG gtu haha
anesrrr,usg transvaginal biasanya dipake pas usia kehamilan masih awal2 gitu mbak
mamamudaa238,iya biasanya usg Transvaginal bisa lebih jelas untuk mendeteksi kelainan dll didalam rahim.
kentang.kintung17,"eh aku baru 2 bulan dan dokterku cowok, tp belum di usg transvaginal knpa ya 😭😭😭 kok jadi deg""an"
raline_mikayla,"biasanyaa kalo ketauan hamil langsung di usg transv loh,aku sampe usia 12mgg di transv untuk liat perkembangan bayinyaa"
jawa_bos0,"istri saya, saya Carikan dokter cewek"
mamamudaa238,"better cr dokter cewe aja, sy jga wkt hamil smpe lahiran cri nya dokter cewe, krn rasanya malu aja klo dokter cowo, jd ga nyaman"
makhsanulfiqri,takutnya dokternya khilap wkwk
mama.azqila,yaa enggala udh berapa ribu yg diliat wkwk lagian kalo doknya cowo yg bagian gitu” susternya sih
blessvla,"dokter itu udh ada spesialisasi nya ya kak, mau cewe cowo kalo udh berurusan sama kerjaan apalagi mata pencaharian nya itu inshaallah ga ada khilaf2"
lee.link,"aku punya anak 2, gak pernah usg transvaginal koq selama kehamilan. usg yg biasa aja tiap kontrol"
hayolohsiapa1234,"usg TransV kalau kata dokter aku kalau pas awal tau hamil tp ga kedetect di usg biasa baru pakai transv, tp kalau uda bsa keliatan di usg 2d ya engga"
diutara,"Dokter punya prinsip masing2 kok mb, ad yg merasa suda cukup pakai usg abdominal ad jg yg perlu USG TV. Jd kalo ga dilakukan ya bukan nya salah 😁"
mitasulistiyani01,duh 😭 malu sii kalo dokter nya cowo
lidiandratmika_bian,"sampe lahiran dan yang ngejahit pun pak dokter itu, tp gak kepikiran ke arah Malu sama sekali, krna lebih mikir kalau dia dokter 😅🥺"
nasonohallebaim,Iya wkwk lagian suasananya jg ga sekaku itu sih kan. Ad suster dan dokternya jg datar2 aja profesional aja
lidiandratmika_bian,"dlu aku dokternya cwok, sampe lahiran gak ganti2.. tiap usg sama suami, ttp positif aja krna emang pkrjaan dia itu dan lagi Dokternya telaten"
dhevyvy__,"Sama bgt 😂 + dokter obgyn ku religi bgt, tiap usg diruangan setel tilawah quran tp pelan. 2 kali lahiran sama dia terus sih😁"
lidiandratmika_bian,"Iya btull mba, aku jg kalau rejeki mau sma dokter itu lgi sbgai dokter yg nnganin smpe lhiran😅"
yuliastuti1994,gpp bun..sy usg selalu cwo dokternya..tp biasa aja rasanya..dulu sempet mikir gtu juga
firaaaei,@njgns_ njir
lvf.you,@mhdabiil 😭
mhdabiil,woiii
ayupandita91,"Pas dipriksa langsung ngelag, jantung dah jedag jedug.. Apalagi dokternya cakep auto gagal fokus.. 😂😂"
ica19980,B aja plis ga usah alay kalo belom hamil ga bakal ngerti dokter cwo lebih teliti
amadeaaaww,tp sepengalaman ku dokter kandungan enakan cowok sih daripada cewek
tuty2186,"tapi sama dokter cwok lebih enak mba, extra hati2 sama ngomong ny lembut bnget"
user24687828597971,Hahaha Auto Salting Hutan nya😂😂
asss.uu,tpi bnyk dr kandungan cwo
sherinanaw,alatnya yg panjang itu yaa?😭
nadyamgdlnn,IYA NJIR
chacashaskia09,wakakak😭
rifawrdh_,tbll😭😭
hllo_v,hih😭😭
shin.ama,takut
anaklol3,😭😭😭
im_noza,"pernah 😂😂, malah belum cukuran 😂😂😂"
unaytayokucing,Sakit ga ka ?
nadyamgdlnn,"kalo aku kayanya kebal ya, jd ga sakit cuma kaku aja"
unaytayokucing,Takut 😂😂
minchimmm,sakit enggak kak?
dyxyln_,😭😭
hann_xx1,Engga. Asal jgn lama2 didiemin cream perontoknya
minchimmm,maksudnya alat usg nya kak
hann_xx1,Wkwkwk owalah salah 😅 alat usg nya juga gak sakit sih. Kan udh dikasih cairan gt ama dokternya biar gk sakit pas masuk
mmikenza,"mantap sakit bangettttt kak bagi aku, dua kali pula sebelum lahiran."
mmikenza,klo ak ttap skit kk sampe merem
unaytayokucing,😭😭😭😭 takut
arrums0,ya ampun bumil😭
bi.l.aa,@raynaaaaaaaaaaaaa
junimutiara06,@freaaaxxx
toxicgirlsv,Heh
chika5183,😅😅 udh pernah🥲
trisnaraw,Usg transvgnl kak
caramelstd,takuuttt 😭😭😭😭😭
urdewdrop,"tapi alatnya sakit sih, ga kaya punyanya tetangga sebelah"
sherinanaw,jiakh tetangga sebelah pura pura gatau deh🫣
mbapiitrii,🥺
ehaiyaya,emng usg skrng dr bgian bawah bukan perut lg????
dilafatdillah3103,yang panjang gimana?
meisy.aa,buat ngeruk bulunya
indrianispipin_aa,lebih malu lagii Kalok mau oprasi SC😂😅 aku oprasi emergency Dadakan banget eh hutan rimbanya jadi gundul sendiri bingung siapa yg nyukur🤭🙄😅
miwabyaka,"aku dulu pas zaman praktek di rs sbg mahasiswa bidan, kami yang nyukur mba 😅😅"
indrianispipin_aa,Yakan malu banget😅😅
