User @,Comment Text
user4618443340300,"amin selama ini yg saya jumpa jg baik para tenaga medisnya ramah"" mungkin waktu saya menggunakan jasanya saya gk crewet😄"
monajutex313,kebetulan aja mbk dpt perawat yg baik tp fakta banyak perawat yg judes
fateha090,Yaa Allah..semoga lekas sembuh adek...🤲
asphyxhy,"emg gk smua prawat. tp kebanyakan dri mreka itu bad attitude ke psien trtentu. intinya klo ada duit dan org dalam, mreka ramah."
ronaldsetagau,sehat2 slalu perawat2 Indonesia 👋
veby155,😂😂😂😂 perwat mah gitu Sampek bengkak tangan kita sama infus bilng ngk pp 😂😂
tribusiatmatahir,Semoga cepat sembuh ya sayang yang cantik
tehtitin2,"25 thun lalu anak sya pernah di rawat kya gitu slma 17 hari,dan di rawat dngan baik, skrang anak sya jadi nakes di rmah sakit, alhmdllah cita2 tercpai"
mascooangleramatiran_,kalo jahat sama si dedek y perawat kebanget mbak.... bukan lagi manusia tapi setan
manuriwaru,"bnr mb perwat kdg sombonge jg minta ampun...emang dia pikir yg gaji spa cb...se,enaknya sndri kdg"
oscar_frits,"mba jangan diulangi suara sampah itu, nanti masyarakat akan jadi sampah 😂😂😂"
yuniindartini6,bacot doang nich manusia
