User @,Comment Text
dr.lisakristiana,Hahaha sebenernya aku tim hore aja 🤭
95vnz,dokter cantik bgt 🥰
roeses_are_rose,dok lis tiktokan bareng Dita😂
brayen__blink,"namanya Lisa, Lisa Blackpink ya mba😀👍🏻"
michatjambii,wah ternyata dokternya lebih cantik
hifriends925,oh jadi kak:Lisa Kristiana🌸 itu teman nya dita😳 @Lisa Kristiana🌸😅
iam.monalisaaa,ini kok gk d komen benar sih😂🥰
khap62lay,Dok saya sakit hati
dapin_orijinal,kamu gak tersiksa sama dita 🤨🤨
yudew9,😂
natasya_xxy,😭😭😭😭
dewii767,ditaa demi apapun lu keren banget disni
kaguya_otsutsuki_01,tertekan ya dok 😅
initutus14,sehat dok?😭
bcd_lujelek,knpa mau dirasuki jin Dita Bu 😭😭🤣🤣
helenzz26,[ceray] [cry]
wahyuniarsyad17,lisa blackpink sdh capek krn ga comeback2 akhrnya cari kerja sampingan jdi dokter 😂😂
dheapuspita.dr,Dokternya jago dance mantan personil red velvet ya 🤏🏻
zahraramadhina37,Support akun tiktok aku yuk kawan biar berkembang🥰🙏
clarapuspita07,mahal ga tarif perawatan nya dok?
teh_hijau80,𝚖𝚎𝚗𝚝𝚊𝚕 𝚖𝚜𝚑 𝚊𝚖𝚊𝚗 𝚐𝚊 𝚍𝚘𝚔? 😂
erick_beckham,aq juga hore 😂😂
ysvsabhwiloveyouhgygfj,dokternya merasa tertekan😭
ditanganu,Benar
ysvsabhwiloveyouhgygfj,sekali🙏🏻
dillaicha4,"PERASAAN KAKK DITAA ITU NGOMONG ""BENAR"""
avril42626,jago jg lu dita[happy]
kidulelaut,bro mampir ke gw 😁
ysvsabhwiloveyouhgygfj,paan?
sulan_aj,😅
alagdrm,lebih ke suster
sh3l14,😭👍
ohmymz1,Dokternya tertekan 😭🙏
klbybs,wih bagus banget dit
ditanganu,Benar
husbunya_gojo,hy
ygy.yulia123,dit dit
akungabutni4,tetep gak pernah kalem😂
ditanganu,Benar
vallerysaerang,nyambung njir😳
yulfiadesry,ternyata Dita jago dance😂
ditanganu,Benar
yunitaadamayantii,iya dita jago dancenya keren2 👍
akugabutyeyyyyyyyy,balasannya BENAR semua
akungabutni4,lu kagak njir 😂
akugabutyeyyyyyyyy,iya😂🥺
lennypaunk,auto answer
iyoo704,kesn nya kaya joget dangdut😂😂
ditanganu,Benar
glory_nayla,tumben gw gercep
useryou_1_2,Benar
ilovee_u1,berasa kyk jessi😂
ditanganu,Benar
bakso_ac1,Dita kasih saya thr kan mau lebaran😘👍🏿
desfiasetriani,dita sangat Coll 😎👍
callmemuliani,jangan sampai dokter ny ke dita juga😩
chall_90,gercep
senyumsemua,kompak sama lucu semua>_<
maknyabiyyu,ditq itu jago dance loh-!!
boboboyhalilintar__,dita memang lucu\imut
echiww_07,yok kawal kk dita sampe centang biru
andniixy_,DITA MAKIN CAKEPP🥰🥰
nikenofficialstore,dita Selalu Menghibur
ismiirsalina1,dita cantik banget yahh🥰
user3354815641736,Dokternya cantik
riskemaidona,nanti yg terkenal dan diundang2 dokternya walaupun dita yg ajarin😁😁😁
cicidevan,berapa kali tuhh buat video nya
lathifah483,Yaampun ini bneran mbak lisa tetangga ku 🥺🥺
dar_1299,pasti ini model brand ambasador nya dri klinik ATENA...
callmemilot,Tumben serius kak vt nya😅
xyzd_zyfcg,dokternya tertekan😭
milea.lily,salfok sama perawat nya😭😭😭 ekspresinya capek bgt buat dance😂😂
heyyyylica,Dita kmu perawatan😳
nhria03,Cmn ini seleb yg Fyp dgn Crax sndri🥰
nandaardiansyah850,Benar
cavvelv_,dokternya canci bngt woy
aingmiung7,kao yang ngajarin tu dokter🗿
lusiati931,"benar2 semua ,..
gw benar jga lha😂"
fnstzz,yg di tengah awoakwook
uzeyjimyjoy,ternyata dita juga bisa kece ya
azzakka_,yang pake baju item yang ngajarin 😂
yantisitopu87,makin keren aja dita skrg y🥰
mirauyy10,Dita makin kesana makin kesini😊☺️
gembrutcomell,"apapun komenya jawabnya ""benar""🙂👍"
javien65,vibesnya dangdut ya dit
qesya041,"dinding:aku hamil mbak
😭🤸"
heyorangsukses,kk dita tmbh cantik🥰🥰
rafatpl,"Cukup sayang kuuu,😭😭"
tigadua16,apapun yang kalian bilang benar jawabnya dita
ahdasaniaputri0,dokter nya cantik banget loh 😳😳😳😳
desi_yanti_07,apapun komen ny bener jwbn ny
zyrex_riitxz,ku tunggu kamu centang biruu
maulidia_150211,kok pada cantik cantik ya 😍❤
dinosaurushijau,eh kok langsing 🥺 makin cantik
vamdeby4,semua komentr benar😂😂😂😂
mardanasuryapratama,aku sih pilih dita 😁
l_aa022,dita lah siapa lagi
liamousy,benar ga dit?
tenten_552,dokternya cntik 🥺
aileennisa_13,mewah sekali😳
papatsifa30,gue ngfans ma lu diiiit
mawarkuning09,Mirip si lasma kan disini @anjelima
fatrhitiaharefanitaleo,"semua jawabnya kata ""benar""🤣🤣😄"
susantikew29,"semangat selalu dit,Tuhan selalu memberkatimu🙏🏻🙏🏻"
banditlapa2,"ada yg boru batak tuh, boru tambunan"
adelz39,nma baju ny apa yg di pakek kak dita
bigzie0,lu kenapa di tengah dit?
mamashalu,wiwww keren kaamuh
tatimulyati361,"kalo saya komen pasti kk dita jawab""benar"""
nay_ndag00dluk1n9_,dokter nya cantip banget bahh😫😫
gemiliafebrianti123,semua komentar dijawab benar😂
putri0420102,kasihan ADEKTA tidak diajak
khoirunnisa1529,benar dita jago dance
naykey62,Sayang
itsyoursaa_,susternya tertekan😌
jamdinding7777,Benar aj semuanya🗿
vitha_sary20,ak ngakak dit 😂😂
pacarrenjunkack,dokternya tertekan please 🗿👍
nh5185355922550,Tambah glowing aja .
rachelopenall0,kaya bener dita aww😂
leacantik123,muka suster ny pls 🙏
nayla14500,anjy dita
hervina.simatupang,ka Dita lagi ngapain🙄
rissca_2,dokternya ga tertekan?
jaylenplayzgacha_3rdacc,CUKUP DIT 😭😭😭
kamediaaurell,janji ga bang jali😭😭😭😭
1.araaaa,benar?
cowo_user_mage1,Benar
muna25_,dr. nya masih muda huhu
putrasimanjuntak_.com,mau heran tapi ini ditaaa 😅
nualarikki,mau heran tapi ini Dita
skkyie229,"""JANJI GA BANGJALI"" 😇☝🏿💅🏿"
gasedgakeren,semuanya benar😅
ahmttshine,dokter nya😭😭😭😭👌
jaehyunn_127,tp yg dokter baju putih bagus 😌
sibontotttttt6,Ternyata kalem nya udh punah ya dit🫠😭
sita_lee1,dita makin cantik aja ya sekarang
annnisa_nisaaa,membalas dengan satu kta
cuttiadevaniii,org waras pun butuh hiburan 😅
kahanaisforyou,orang yang kiri cantik baget
vanilacoklatt_12,tmbh cntik yah ditt🥰🥰
julvenl1,doain gua biar cept sembuh😄💊💗🙏
tiaramonikaamirjohary,"Dita kamu lucu,gemush bangett🥰"
elenadirgayanti,rambutlu habis di smoothing ya dit 😭
octa_0347,apapun komenannya jawabannya pasti benar
gidgit__,Dokternya cantik 🥰
nurlijamanalum,cyantikk KK senyum mu
fadilraisha3,Dita menang idol gue 🥰😂😂
azka_.editz,Cakep jg lu dit kl serius
mamakimza,bissmillah dapet THR dari ditaa😁
zhicogoutgh,dokter cantik banget
siska.ruu,otw gloewing kak🥰
a_madeadelia,mau heran tpi ini ditaaa🥰
arikutaki,dokter nya cantik
cahndesocahndeso1,kak dit dari tadi kok bilang benar terus
hanafitiyah,@lukman_nj kan di situ jga kak dita
miku_wibu123,Dokter nya cantik Dita jg cantik 🗿
cutmalarizly22,semua dijawab dengan BENAR 😂😂😂
khenk_khenk,sabar ya dokter cantik
anisryniii_,"Tolong siapapun itu selamatkan dokternya, takut tmbh tertekan😭"
hendriasetyadi,mbak dokternya kyk dlm hati tertekan gitu 😁😁
