User @,Comment Text
deby_putr,gue yg udah ga haid 1 thn 😬
ay_pailaa,Ayo coba periksa aja dulu ya 🥰
18januari.02,samaa
sasqeelofficial,hormon mungkin
desinovitasari1452,kok bisa
erza_scarlet298,SAMA kita
spiaaawlaat,gua gak lancar kadang 1 tahun 4 atau 2 x haid doang
tnylni14,Aku yg udah ga haid 1 thn lebih😬
diahaja086,hah ko bisa smpe se th?
regina_grils6,sama..tpi alhamdulillah ini udh mulai haid lagi😁
endartiapriliyani07,gimana kak biar bisa haid lagi😅
haechangans1,mungkin itu flek
fadhilalo0,aku jga sekarang kalo haid hanya flek aja trus sehari aja
ayunaylap,9 bulan udah 3× priksa ga ada hasil😅 semoga di tanggal 10 ada hasil amin🥺
dptm12,dulu pertama haid gini setahun ga haid lagi setelah setahun haid lagi dn lancar sampai sekarang😅
shafira.e.a.s,aq mlah 3thun gk haid😳😳😳
alyameila355,ternyata aku tidak sendirian😂
wongbanyuwangi14,ternyata aku tidak sendiri🥺
mellyna66,serius😳
apaluhaluu_,trus gimna kak kok bisaa???
.wndaa,sama
rha.arra.rhara,PCOS ?
najma_adibaorlin,karna kamu kecapean kali
inideasf,terapi bekam aja kak
nengchu05,Aku maret april mei belum haid😭
wildha_nia,lah kok sama 😭
nengchu05,Akhirnya aku haid tgl 25😭sakit bnget oii.. semoga kamu cepet dpt ya😘
wildha_nia,Amin ya Allah doain ya kak 🥺
putribandung18,amin kk
arptriaa,woilah ko sama kita😭
nengchu05,Aku udah dpt pas tgl 25..Semoga kamu cepet dpt yaa 😘
arptriaa,"aamiin, hihi makasii"
vita100500,sama kak 😌
nengchu05,"Alhamdulillah aku udah dpt, pikiran udh kmn2 pdhl g ngapa2in😂😂
Semoga kamu cpt dpt juga ya😘"
vita100500,iya kak😌
ansputriaa,samaa
nunna_uarmyhope193,sama weh 😳 . sekarang udahh haid belum kak
nengchu05,Alhamdulillah udah😁🙏
dhe19afi,samaa ..awl nya aq kb 3 bln trus bln 2 aq ganti suntik kb 1 bln bln 3 haid tpi bln 4 5 nggk pdhal rutin kb 🥺
nengchu05,"Aduuhh,, saya ga ngerti kalo bahas kb🤭semoga apa yang mbak inginkan bisa segera di kabulkan ya.."
dhe19afi,ahh jngn dlu ank ku bru 2.5 .😁ini ajh udh takutt jngn sampe 😅
sultrakurniati,sama😭
nengchu05,"Alhamdulillah aku udah dpt,, semoga kamu segera yaa"
by.girlsl,umur kk berapa emamg
mybirthday20mei,kok aku blm haid ya🥺 padahal terakhir haid bulan februari 🥺
wildha_nia,kok sama 🥺 takut kan
siriuscinta,coba rutin minum resep lancar haid zaidul akbar ka .. imbangi pola makan dan istirahat yg cukup. ditambah yoga khusus lancar haid..
spiaaawlaat,zaidul akbar ala kak
rinayaerin,"gw 1× 2 bulan , kenapa ya tolong di jelasin"
najwasyifa52,siklus haid 21-35 hari kak. jadi itu normal
rinayaerin,ouh iya makasih penjelasan nya
danendra11920,aku 30-40 siklusku :(
devihariyanto3,ada yg sama ternyata. aku jg 40 hari siklusnya. pas hamil jadi hitungannya ga pke hpht.
vivivalda0911,Sama kak aku jga gitu
syasyasya22,hitung siklusnya aja dulu kak soalnya aku lupa. ada yg 2 kali dalam 1 bulan tapi normal asalkan siklusnya maksimal brp hari gituh.
syifa_octa,lah gua 2 kali dalam 1 bulan😌
robiatul_adawiyah6,sama
devianidaris,lah sama gue juga telat 3 bulan 😳masa hamil juga🥺masih dibawah umur tapi😌
ay_pailaa,Gak semua yg telat haid itu tandanya hamil ya guyss 🥰
upit.lesania26,"ngga semuanya yang telat haid itu hamil ya Kaka, temenku aja ada yang 4 bulan belum haid dia ngga hamil"
dedefitriyani37,kalo gk berbuat ya gk usah takut hamil aq dulu telat 7 bulan B ajh
putrisucilestari7,aku yg dulu 1 THN ngk haid😅
spiaaawlaat,spil cara memperlancar haid
putrisucilestari7,"dulu gelisa bgt, takut nanti di ngk bisa punya anak, takut ada yg salah sama badan aku, tpi aku berusaha optimis aja,dan banyak doa😅"
spiaaawlaat,ok kak makasih sarannya
ayy072701,skrg udah lancar kak ?
