User @,Comment Text
ra_afenina745,ncuusss nya pinter yaaa😁interaktif gituu
teletubbies.16,"pilihan bunda Ashanty gk pernah salah sih, selalu terbaik.."
kusmiyatiiwok,ncus begini jangan d ganti sampai nanti.. ncus pinter cerdas .
yuniasihfjr,iya lah kan bunda yg nyari in sus nya
aurelieameenastory1022,yes dan ga sembarang bangt langsung pilih juga 🥰 selektif bener bener dan best bangt suster ya 😂
riniahyani_,"iy di ajak intraktif trus biar bnyak denger suara2,warna2 ncus nya pinter"
cahyadwie26,"percayalah,klo baby sering di ajak ngobrol dan di nyanyiin,dia akan bisa bicara cepat,responsif dan cerdas kelak🥰"
emakdaffadantaehyung,"bener sih ini,semakin sering diajak ngobrol lebih cepat ngomong juga.."
diandedik,"ncus nya ameena jg pinter, jd nya respon ameena cepet🥰🤩"
user6102123150084,"ncus abis lomba terbang joget2, aku jd mikir itu lomba apaan ya?😂😂😂"
fitriwahyuningsih11,MasyaAllah mochi pinter banget
attaaurelfan,baby jenius yg cantik dan soleha
faridaariyani306,pinter baby sisternya.Amaananya jg cerdas sih
riantimuchlis,Bismillah..Baby Twins sehat2 y Nak d kandungan Bunda..Nt klo kalian udh lahir Bunda mau ajakin ngobrol trs ku gni..Ameena..😘😘😘😘😘😘
dewidedi12,"aaamiiin,semoga nular ya kakak, penantian 10 thun🥰"
user728321485743,amiin.
ruslianaundaru,aamiin ya Allah
riantimuchlis,Aamiin Yaa Allah Bunda smoga d segerakan y utk memiliki momongan..
riantimuchlis,Trima Ksh Bunda..
riantimuchlis,Mksh Bunda..
aquarius_grl79,masha allah ameena pinter bgt udah pinter diajak ngomong 🤗🤗🤗😊😊😊
ririnbsnsj,masya allah cim cim😍😍😍
mamaelen845,ya ampun si moci ini cerdas banget gemes g sih ya gemess parahhh
user69971111660456meiwwn,respon ameena cpt bgt
fathii050,pinter banget sih ameena🥰🥰🥰🥰
dorceyultidju,gemes banget
desi_m.a,Masya Allah.. cantiknya Ameena Solehah pintar gemesnya🥰🥰
purwatiichaicheli,ncuz cerdas selalu ajak interaksi anak pinter juga kk loli milihnya 🥰🥰
keynakawakibarojabiy,bunda Ashanty yg nyariin
my_bee13,"Ncus suroh gemes amaaaatt,gak kalah sm Ameenaaa.....gemess kaliaannn😅😅"
nursy4m,susternya pinter banget sering d ajak ngobrol
raeina85,Ncus nya pinter.. bisa ngajak ngobrol anak🥰
anggrek8888,"ajarin baca2 sholawat, yg banyak di youtube bukan kaya gitu sus"
arkenziyullieriyu,"Alhamdulillah ameena semenjak dalam kandungan sering di puterin murotal,hal begitu ga perlu di kasih tau mb Alhamdulillah atta Aurel udah paham"
difandiraaremanita,dari dlm perut ammena sllu di dengeein mortal
anggrek8888,"beda, ini langsung tatap mata sm baby nya"
difandiraaremanita,ya gk pp pasti ada waktu tertentu..urusan mreka toh mreka fine2 aza
senangiban,dlm kamar aurel klo ameena dg mamahnya sering di puterin murotal🥰🥰
murniatimurni525,lucuuuu ncussnya pintar diajak komunikasi terussss🥰🥰🥰🥰 sehat sllu
alikaika672,baby ngobrol ma pengasuh nya pinterr
rambutkriting_,mochi udh pintar skrg🥰
khaxy0,nanti jadi mba lala
shintasoewiryo,MasyaaAllah ngobrol gitu Ameena sm Ncuus...🥰🥰🥰
idasiauce,lucu banget deh si cantik moci 😘😂
maymy005,"masih jd pertanyaan terbesar d hidup aku, knp org kalo ngajak ngobrol bayi itu kepalanya harus manggut2. 🤔"
indiesafaq,"Ameena nnti cpet nii ngomong'nya...🥰
sehat sllu anak sholeha Ameena 🥰"
zheinnur.shop5112,minul lucu😁
1234salsabila3,"ameena anak pinter berinteraksi, ngobrol sama sus...🥰🥰"
bundawiluzabunda,"mashaAlloh mochi respons nya ,pinter banget si encus juga pinter ngajarin baby ameenah bicara"
bunda_arshaq7,masyaallah pinter bgt amena
intanrahayu717,Ncus nya bagus pinter sering ajak komunikasi Ameena jadi Ameena pinter 🥰
ida.mayasftri,ncussnya rajin ngajak ngomong pasti ameena cepat bicara
norayulia,suka cara ncuss nya ngobrol sama boss kecilnya
laelagora,"Kalou ncus nya rajin ngajak ngobrol pasti Ameena cepet ngomong , lagian Ameena anak nya pinter banget 🥰🥰"
cleopatra9999,hiduuuuuuuppp uteengnyaa Ameenaaaa 🥰🥰🥰🥰🥰🤗🤗🤗🤗
yantiwarso,Ikut banyak belajar sama encus nya Ameena. Seru lucu interaksinya keren cus
rinipriyanti04,ameena nya cerdas . ncuss nya interaktif. jadinya klop 🥰
molcok,dh ngerti bgt
srisunarsihsukses,Masya Allah 🥰
warlinahbintiabo,initial udhpk02.38 apart ini siar langsng / rekamn
natlun80,@aureliehermansyahatta surohnya disayang yah aurel habis keliatan sayang bgt dan interaktif bgt ma ameena.Trus keliatan melindungi ameena bgt🥰
akusiluka,klo baby itu emg harus sering diajak ngobrol biar interaktif
ns.id97,nyambung ya kalo diajak ngomong🥰
88siti74,"ncusnya pinter,aktif jadi anaknya tambah pinter,love ncus 😘😘"
sukains3cur3,suster suroh dinobatkan menjadi mba Lala kedua😭😂
alifahzulianah,emang gemessss 🥰🥰
isnaeniani28,ngus nya pintar banyak ngajak ngbrol ameena.lanjutkan ncus harus sering diajak ngbrol biar ameena pintar ngmng sekali2 sholawatan juga. 🥰
siibungsu1705,ncuss nya sfrekuensi ama mama nya ameena nih kayanya 😅
chenchunaicha975,ya allah gemes ihh ameena
megaega646,"Ameena respon sambil denger cerita Surro, cerdas sekali nih BESTie Ameena 😍🥰🥰😂😂"
alnie1505,cerita apa nih sus😂
akubahagia480,sarohhh ntar kaya lala 😁
i.rahma4,coba. Amena dengerin ngaji gimana reaksinya🤔
az_201082_spn,lucu bgt ya ameena🥰🥰
imdipull,ameenaa gemesss bgt ci
user1883493701765,coba kli2 di ajarin bhsa asing.
lnia33,curhat mereka ber 2🥰🥰
pitrivit,bayik kaya ngerti ajah kamuuuh 😍
adelia_ahha,Suka deh sama ncuss na ameena 🥰🥰
klaramaharani,ameena pinter banget
wiwitnoppianti,the next mba lala nih
nurita_rita395,ameena gemesin bngt
demitte_sosmed,"Lho gmn ini ko mulutku ikut monyong""😅😅"
nurdiana121319,muka atta bgt
anandakidsmuslim,ncuss nya pinter 😍
raniiimhrnnn,Gemoy🥰
iin_878,"ncusss pinter deh, bikin pkembangan minul cepet respon thdp suara klo diajak ngomog..."
eka_windiarti,"Ini ncusnya keren banget sich 👍🏻pasti ameena makin pinter, cepet bisa ngomong dan ceriwis 😁"
ririnafsari,nielah klw bayi cwe pasti lebih cepet pengen ngobrol
bintang929,dan sy pun ikut monyong2 dan ikut naekin alis😂😂
emmafashion99,bikin ameena cepet pinter ngomong ni susternya🥰🥰🥰
_____tyo____,"paling seneng aku kalo ngajakin bayi ngobrol,gemesin"
istidwi01,bayi akan cepat pintar berbicara jika bundanya sering mengajak bicara 👍
wiar73,lihat wajah ncus nya dunkk ikutan Gemez jadinya sama ncus ❤
hanyputriewaryati,Susternya interaktif bgt
ganjargum,"pantesan ameena pinter bgt, kalo d ajak ngomong tuh ngerespon dan jawab..trnyt mng sering di ajak bicara kek gtu"
fitsur_,"ameena main ludah sama kyk anakku, rambut mamanya rontok"
_hanyaseorangaku,ameeenaaaaa maa syaa Allaah
arsyillaalmira,pinter lucu bnget amenaa
mariabunga88,mochi kulitnya eksotis 🥰🥰🥰
rosalindabailamor,klo gak pake filter kulit aurel/mimi kd jaman dulu bgt..sawo matang..cakep
t3m96,"rambutnya itu Lo,bagus🥰😬😬"
umienaf,"Ncuss nya Ameena bagus nich cara ngajak ngobrolnya, bisa cepet pinter ngomong klo baby sering di ajak ngobrol gini..."
sopiahh2,lucuuu amat ky udh gedee
uccik_sucipto,masyaallah mbak...gemesss🥰🥰
zrx1906,masyaallah cantiknya amenaaa gemesss
wafazoya0,gemes bgt aameena
muhidinqu,muach😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
user79210692627496,aduuuh bajunya bagus
mhdiyyhts,gemesh bgt🥺
zahroni131,ncuss sering sering bacain Al-Quran dan sholawatan juga ya
vievalent,"Beby sister e bukan kaleng""....
serba bisa🥰"
bonyi030703,gemees bngt ameena 🥰🥰🥰
buina08,"ncus nya ameena juga pinter,, interaktif sekali"
annispermatasari,gemes amat
atqiya07,masya allah 😂😂😂
tsallj,Rambutnya lucuu
rumahku3658,rmbutnya lucu😂😂😂
auntylovizatasaka,keren sih susternya
nuraida2436,salut buat suster ameena mau ajak cakap2 amena
