Username,Komen
Bryan Villy Bherliana Agatha,Baik nya kontrol lagi bund klo dokter udh  blg sruh kontrol ulang.
Shry Ry,"nga selamanya kan kontrol langsung di suruh sc,meski ambil tindakan nga langsung sc pasti ada induksi dulu tapi kalsu semua baik2 aja paling di suruh nunggu lagi"
Putry Laree Laree,"Kontrol aja bun,, saya hpl 12juni"
Nur Aeni,Banyakin jongkok bun.. Aq kemaren begitu bun kepala bayi udah mean dan sering konpal... Ngerasaiin konpal NY itu sampe 3minggu itungan hpl bidan 9 juni hpl usg 12 juni alhamdulilah launcing dede nya 30 mey.. Sering2 hb bun
Resti Aryanivi,Kalo pengalaman aku dulu usg trs kata dokternya debaynya kecil kemungkinan harus lahir sesuai hpl takutnya meninggal di dalam kandungan?lahh aku sama suami denger dokter bilang kek gtu aku takut bnget akhirnya pas waktu HPL tgl  8 agustus aku gk kontro…
Putri Jon Alif,Sama saya juga hpl dri dokter USG 16 juni bun..
Yella Dwi Amaliyanti,"Tante saya dulu juga gtu usg mlh majunya hampir 1/2 bulan pas dia kontrol sih dokter g blg apa"" cuma bilang kepala baby udah masuk panggul bgt tggl nggu hitungan hari, ehh lahirnya pas hpl dari bidan hitungan 40 minggu, bukan hpl USG yg maju tadi skrg …"
Mustahiqul Jannah,"Lbih baik kn kontrol aj Bun, yg tau baik enggaknya kondisi kita y dokter, klo pun g ada yg hrus di khawatir kn jg g akan di tindak dan klo ada yg di khawatir kn emang harus di tindak utk keselamatan ibu dan baby nya"
Nita Yunita,"Sama bun saya jga gitu,pas priksa katanya baby nya udah bagus udah masuk panggul nggak lama lagi lahiran tapi sampe sekarang belum ada tanda2 mau lahiran"
Rafli Reza Muspida Muspida,"Q juga gitu Bun,,"
Nadhira Azkayra Arum Sitepu,"Klo mnrutku selagi bundanya gpp tunggu aja deh , toh cuman ddeknya aja kan yg turun katanya, gda mslah lain... Blom lwat hpl juga..."
Ningrum Septhyani Ray,"Kontrol aja Bun aku aja yg kata dokter ambil tindakan tgl 4 bln ini pas aku balik kontrol tgl 4 itu kata dokter nya masih baik"" aja semua nya jadi di suruh plng dulu klo sampai tgl 20 blm launching jg baru di suruh balik ke RS lg"
Puput Threany Purnama,Berdoa saja Bun sabar  ...Allah udah atur semua kapan waktu nya ..debay harus lahir .saya hpl 12 Juni ...rasa badan udah gak karuan ...tapi yaa tetep sabar ...karena bidan dan dokter bilang semua baik2 aja baik debay nya dan ibu nya ...jadi yaa inti ny…
Alviena Faida Azmi,"dr juga gak ujug ujug nyuruh SC kalo gak ada indikasi ke SC bunda, kalo tensi tinggi, sungsang,panggul kecil kayaknya langsung di suruh SC, tapi kalo gak ada kontraksi kebanhakan di induksi terlebih dahulu, kalo induksi gak ada kenaikan pembukaan baruk…"
Ibu De Billy,"Bun menurut saya mh kontrol lg aja, kalau masalah lahiran mau cs atau normal,yg penting ibu dan debay nya sehat dan selamet 22 nya,udah itu aja jangan takut Bun semangat"
Arvino Napitupulu,Klo menurut ku usg ajah bun
Arvino Napitupulu,"Takutnya nanti salah"" kan"
Lies Triyo,"Tungguin aja Bun,, itu udah dekat tanda²nya,, kurang lebih semingguan lagi ... Insya Allah..."
MamahAsep,"Tunggu aja bun sampai hpl, itu tanda² nya udah mulai mndkati lahiran."
Yulia Nya Wahyu,Tunggu aj dlu Bun itu kan cman  tafsiran dokter aja kdang maju kdang mundur dri tgl hpl
