Username,Komen
Imron Rockes,"Sering aja anak.a klo hbs main cuciin muka,karna mank kena debu inshallah klo sering cuci muka inshallah ilang ka pengalaman saya pribadi dan hilang muncul lagy tapi stelah rutin cuci muka klo hbs perjalanan alhamdllah ga pernah lagy"
Nadira Ayu Zulkarnain,"Saya juga pernah mcm itu bund... Malah dah 3x saya kena .. sampai muka saya bengkak sebelah ... Dan saya pon malu mau keluar... Itu sih saya bilang bisul di mata .. sakit nya tak seberapa, tp bengkak nya hampir seluruh wajah saya"
Neng,Sama itu sama ahira lama sembuh nya perawatan juga cukup mahal di Cicendo
Diana Asnawati,"Q sering kaya gini,,"
Rijwanttr,Bru smbuh. Pake ini kemarin
Ririn Dwi Saputri,anaknya mbak q juga gitu mba   ...
Taniah Esther Chey,
Ummu Pita Akbar,Persis sama seperti diriku kmrin kk...diriku pas dikelopak mata...awal dikira bintitan...trkhir ada mata nya seperti bisul...berobat tp lama proses pecahnya...gk sabar ku pecahin sendiri...setelah pecah trus Alhamdulillah kempes dan sembuh.
Rifin Ondi,Klu deket dah Pa Odang jewer...  semoga cepat pulih...
Yuyun Rosida,Semoga segera sembih sakitnya.
Rinjania Ivan,Sakit itu bun...anakq jg gt dl sampe pecah dan sekarang ada bekasnya
Resti Eka Putri,"Aku juga dulu bintitan kaya gitu, hampir 6 bulan. Malu bgt kalo k tempat kerja, tp alhamdulillah skrg udh sembuh. Lekas sembuh ya adek, pake kacamata biar engga kena debu"
Any Any,SAFAKALLAH adek
