Username,Komen
Rosida Dwi Agus Astiyah,Semoga lekas sembuh .. Sakit apa mb..
Gadiezt Berlian,"Kak naura sakit apa,lekas sembuh ya"
Yetty Yetty,semoga lekas sembuh dan sukses operasinya mbak
Isna Kamalia Al Hamzany,Jd inget 2017 dlu husain jg ngalami ini tapi operasinga bersihkan luka bekas kena air panas tpi di ruang operasi jg puasa duh kasian g tega tpi y gmn lg demi
Dwi Astuti,Semoga lekas sembuh ya Naura...
Ika Prihartini,
Kiki Putry Agustin,moga putrinya lekas smbuh dn pulih ya mb..aamiin
Ira Ika Puspitasari,Cepet sembuh yaa naura
Endang Puji Astutik,Smg cepat sembuh
Imro'atus Sholikhah,Naura sakit pa ma..smg segera di beri kesembuhan buat naura..
Wina Luwina,"Semoga operasi amandelnya sukses dan sembuh kembali ya anak cantik Naura, kemaren Angelina juga dr Dokter..amandelnya gede banget, malah gak boleh dokter ostrali di operasi, katanya selagi gak sakit gpp, besok klau angelina sdh besar alias dewasa mengecil sendiri"
Dian Arfah Fibrianti Ririn,"Anakku yg kedua cowok kelas 5 operasi amandel, udah parah sekali, tidur ngorok, akhirnya di angkat,,,,sekarang anaknya sdh mau SMA tahun ini,,,,semoga lekas sembuh ya utk anaknya"
Sri Harnanik,Semoga lekas sembuh dan di lancarkan operasinya ya
Erlina Siswanto,Semoga lekas sembuh aamiin ya rabbal alamin
Yossy Bastian,Cepet sehat LG mbak naura ..  Kiss dr Ghina &Luna
Elli Kusmawati,Smg cepet sehat
Etty Hamdiana,Bismillah cepet sembuh nauraaaaa ...
Luthfil Qodriyah,"Semoga operasi by berjalan dg lancar yah kak,dan bisa segera pulih kembali sehat putrinya"
Yessy Mpp,"Lekas sehat ya Naura ,, syafakillah"
Kandjeng Mami Anita Nova,"Ya Allah say opo""o Naura... Sakit apa say... Smoga lekas sembuh yaa nak sehat sedia kala aamiin"
Nuriya Achmad,Lho sakit apa nak? Semoga lekas sehat.
Fitria Musdalifah,Naura Naura
Dewi Febriana,Moga lekas sembuh kak Naura. Mbak   yang sabar yaa dan jangan lupa jaga kesehatan juga
Kokomkomariah,Sakit ap ma naura semoga cepat sembuh
Rahmah Nuzulur,semoga lekas sembuh nov anaknya
UsaHerdyastuti Gofar,Cepet sembuh ya nak ..
