Username,Komen
Evi Suswati Milagros Batam,Lekas sembuh ya Nak......
Petrus Nainggolan,Tangan Tuhan yang penuh Kuasa menyembuhkan.Amin.
Romi Ana Marpaung,Lekas sembuh ya dek...gbu
Utami Ningtyastuti,Cepet sembuh yaa..sayang
Anggiek Desvita,Syafakillah dek....
Bunga Manurung,Cepat sembuh ya.
Arina Parhusip,Sakit apa dia tan?
Herta Murniaty,Cepat sembuh ya kak si boru kita yg cantik
Mariada Nainggolan,Cepat sembuh ya
Cennorton Lubis,Smg cepat sembuh ya kk...
Tigor Naiggolan,"cepat sebuh ya bere, Tuhan memberkati, nanti malam kami kesana..."
Amelia Novrida,Cepaaat sembuuuhh deekk caylaaaa
Barita Lumbanraja,Cepat sembuh bere tulabg ya...!!!
Ivo Rahayu,Cepat sembuh iya kaila
Retno Prayogi,Syafakillah ya nak ..
Bunda Keato,Moga si boru lekas sembuh ya kk..aamiin
Ayoe Erpe,Cayla yg sakit? Cpt sembuh ya...
Fransiskus Lumban Raja,"Semoga cepat sembuh ya bere, makan yg banyak dan minum yg banyak biar terus cepat naik trombositnya dan banyak minum jus jambu merah, Tuhan memberkati bere."
Norbunga Parhusip,Cepat sembuh ya cantikkk...
Jaya Masta Masta Naingolan,þùhàñ.mèmbeŕķàfì.òbaf.ýàñģķàmùmaķan.ya.0puñg.yà.ķàila.aku.opungmu.fuhanjèsus.memberkafi.
Peterson Nainggolan Mahulae,"Hatop manleon hamu manginum sop daging b1, hatop turun panas nai...."
Dumaria Parhusip,mmg musim kayaknya dbd y eda...disamosir juga banyak yg opname dbd.cepat pulih ya eDa
Andra Blackmammba,Semoga cepat sembuh ea qella
Yulianto Heru,Semoga cepet sembuh ya....
Hosbron Nainggolan,Cepat sembuh ya bere..
Ester Nainggolan,Amin. Tulang ..
Yesinta Siringoringo,Cepat malum bere itu ya eda..
Novika Harianja,Cepat sembuh buat si boru ...
Matias LumbanRaja Ngl,Cepat sembuh ya kyla...
Bhenshoul Kinali Skm,Amin ya allah
