Username,Komen
Dody Lumban Tobing,
Rumenta Manalu Manalu,Tuhan Yesus Ajaib dan luar biasa
Novelina,Amin.mujijat itu nyata
Veranye Sembiring,"Baik Tuhan itu, sekiranya Tuhan terus melwat dan menyembuhkan ibuk turnip."
Yaman Zega,Amen...Amen...terpujilah Tuhan Yesus yg memberi kehidupan dan kesembuhan bagi ibu turnip
Korma Sihotang,Amin.. Tuhan Yesus ajaib
Ervan Silalahi,"Dasyat Tuhan kita,sungguh heran perbuatannya tidak bisa kita Selami,tetap semangat dan percaya firmanNya"
Dewi Sianturi,Yesus ajaib Tuhanku ajaib....semakin dipulihkn Tuhan kesehatan ibu turnip
Martha Sulung,Haleluya..SKI.
Navishyaa Lanmorcy Nagunmola,Indahnya  …….
Navishyaa Lanmorcy Nagunmola,Haleluya sgala kemuliaan hanya bagi Nya amen  sehat slalu nntulang
Merry Lumbangaol,Tuhan Yesus memberkati
