Username,Komen
Rohana Dosmaria Siagian,
Sondang Rosinta Pasaribu,mantap bou..Aturan gratis pun itu Bou...apalagi udah bou Post foto bou makan disna..
Laura Harahap,Sehat selalu ya Bou na
Cucu Kayla,Bagi2 lah bou cantik
Efrina Rina,Salut buat mami...!!
Nurmala Aritonang,Saya suka dengan lagunya Inanguda
Lenny Putri,Mantap bahagia dan sehat sehat  selalu mamie dan seluruh keluarga Tuhan berkati ...selamat menikmati berkat berkat Tuhan
Lamsari Oxcelliana Tinambunan,Makan yg banyak miii biar fit lagiii
Dinna Mariana Manalu,
Maria Valdez New,Syukur lah udah vaksin ya mi... Sehat selalu mami...
Laura Hutagalung,Mantap bou hasian sehat selalu dan semakin sukses dalam segala hal yang baik ya komandan l love you
Dian Calista,Sehat semua mami syang
Linda Manik,"Bou kan sebritis sudah mendunia,bukan se Nusantara lagi"
Veronica Veronica,
Mamak Celine Siahaan,Saya senang dengar lagu bou ini selalu aku putra b ou
Samina Sihombing,"Mantaf bou..... Sukses trus, sehat slalu"
Nani Sitepu,
Dewi Sinambela,sehat slalu buat bou dan keluarga bou..
Audrey Helen,Hi bou..aq br.naimarata jg bou
