Username,Komen
Rosika Ezria Haviva,Kaya Aku dlu bu.. Hamil si tth... Pdhal bayi usik mereun lah.. Dugi 3 Kali komo aku mh gk jadi lahiran.. Dugi nginep semalaman Di bidan.. Tos weh uih deui ka acan pembukaan....ari Aku Dugi hawatos di neng lahiran acan Dri smlam..
Rika Handayani,Ai pertama MH sok rada lami .....lg cari jalan si Dde na  sing sabar...wios telat hpl GE....yakin .....tth GE Komo hamil nu ie MH  semoga sehat slmt smpe lahiran
Iyoll Herdiansyah,Semangaatt neng tari
Rita Mildha Kittyy Cipunagara,Sehat2 nengg slamet 2*na Zikir trus nk jgn lepas zikirr minta ke Allah yahh.. Amiinn ya Rabb..
Thye Bunda'na Wisnu Rafif,Adatna pertama teh
Shafirah Muna Azizah,Sami kos rima tth anak pertama jadi can aya rarasaan   tos mules th majar th rek lahiraan padahal kintraksi palsu numbe 1 wae . Rima ge sampe 3hariaan th ngarasakn mules . Semangatttttt semangattttt .
Ayyu Ramadhani,Semangat tari kalo anak pertama gtu tth ayu oge
Nafisca Fika Ramadhan,Sehat de sing langsar lungsur selamet 22 na Amin
Inttan Sunikka,Bapuk Oge sarua teh kr hamil si Milka kos Kitu malah lewat hpl seminggu ..
Fika Kurnia Fl,jadi Acan lahiran in
Vhie Noviandhra,Ayna tos lahiran can buu
Nina Silvia,Ooh eta ju lahirran neng atuh pegel neng lmi teuing di rumah sakit tpi teu nnaon lh nu penting mh dd na sehat pnjng umur na sareng mmh na amiiiin ya allah hu ya robal alamiiiin
Alula Hasna,Semngt bebep tari
