Username,Komen
Yaya Yaya,Kenapa ga tanya detail kedoktery bun
Robby Al Fazzry,Dtespek positif gk bun
NiSa Nasa,Penebalan diding rahim Bu bunda gemukah bun
Nadila Khairiyah,Harusnya tanya detail ke dokter bun
Mmah YusupMah Acca,Ga tanya dokter ya bun ..bagai mana2 ya ..
Ibu'e Rangga,Bukan rahim tebal.tapi lemak mungkin bun
Tamara Rizki,Sebelum usg emng ga di testpek dlu?
Zyy Beautycare,"loh emg ga konsul sama dokternya ,, kalo usg mending tanta detail sedetail sedetailnya biar apa yg jd bahan pertanyaan kita itu kejawab kalo gini kan bingung ,,"
Winda Lesmana,"Kaya aku , pas k dktr rahim aku sehat sehat ajja pas sma paraji d kmpung ku d urut katanya rahim aku dalem/jauh itu mksd nya gmna yaa , maaf bun jgn d bully panttian 7 taun"
Irma,Penebalan dinding rahim..nanti kalo bunda sdh dtng haid...itu keluar juga bun.bunda i7ga di anjurkan diet...aku dulu gitu
Syah II,"Katanya kan kmren tes garis 1 bund. Seharusnya bundanya harus tanya se detail""nya. Biar GC jadi pertanyaan.. knpa smpk telan berbulan"" gtuu"
Alvianti Vita,"Itu mungkin penebalan dinding rahim Bun,itu biasany di kasih obat,dulu saya pernh nglmin itu"
Painem Painem Paijem,Mentruasi p g
Nung Maniezt,Itu penebalan dinding rahim bund
Nur Joni,"Belum rezeki sabar aja ,mungkin Allah belum percaya menitip kan malaikat nya"
Suhariadi,sabar bund banyak berdoa agar cpt di kasih momongan...mungkin Allah masih punya rencana lain untuk bunda
Siswati Aditya,"Apakah SDH mencoba kosumsi air mineral(alkali silika jaya Nusantara)bxak manfaatx bund,untuk menetralisir zat""kimia/lemak""yg menumpuk di dlm tubuh kita dan menyuburkan kandungan"
Siswati Aditya,Semua pake perantara serta berdo'a sama Allah
Mull Van Hoten,Di TF negativ apa positip
Yola Anggraini R,"Aku dulu penebalan dinding rahim juga kata dokter bun,tp hasil tespek aku positif,dan aku bertawakal aja bun, alhamdulillah bulan berikutnya aku nggak haid,dan sekarang aku lagi hamil 8 bln"
Silmi Azkia Nissa,Berapa minggu kak ?
Thatha,Mungkin mkzt nya dokter kebanyakan lemak
Ririn Rtg,"Kaya saya gitu juga bun saya kira hamil ternyata penebalan rahim, krna curiga juga gk mens trakhir nya saya cek ke dokter ternyata darah haid nya nempel kerahim jdi blm bisa hamil, dokter bilang sakit miom"
Novi Iskandarr,Sebelumnya udah tespek ya bun
Lina Marwah,"Maaf Bun... Lari dari topik... Bun anak aku umurnya masih 21 hari, GX apa2 kan Bun debaynya potong kuku??"
Titik Sadja,Mngkin ibu prnh kggurn kh shingg mnjdikn dinding rahim tebal
Sutik Ningrum,Lo na pyn telat mens ap ngk c bun
Isni Talbiaah,Biasanya itu peneballan dinding rahim bun
Ndoro Putri RanRan,Biasanya pake transvaginal lebih akurat
Chebonk Art,"Tapi sebelum nya udah di Tespek.ngak buk ,Sampe berapa bulan ngak haid buk"
Hafiza Lubna,Diet bund.
Cici N Nasaru,Kalo saya Bun rahim nya kecil kata dokter itu gimanayah
Nooerhalimah,"Dinding rahim tebal biasanya bun, soalnya pengalaman saya begitu jadi susah untuk hamil,, biasanya dokter nyaranin buat diet bun untuk menipiskan lemak dinding rahim kalau sudah tipis insyaAllah sudah siap untuk di buahi.."
Arsyila Mawaddatul Jannah,"Tebal itu krna trlalu banyak lemak,,,,trs dokter nya nyaranin bunda gimana?"
Marcella Ezz,"Seharusnya tadi usg nanya sama dokternya Bun biar enak,,,terus nanya solusinya gimana gitu bun"
Leha Po'nyak,Tebal karnah bnyk lemak kyk nya jadi bgtuu kurangi mkn nya dlu ya bunn di dkt rmh bnyk kok kek gtuu
Rini Mamath Putra,"Maap bun saya mau tanya klw hed gk lancar pengn hed lancar kira"" minum apa y"
Alex Alex,Hi..bunda semoga sehat selalu ya
