Username,Komen
Rulia Stt,walah..di kirain malah suruh mnum air hangat kalo lagi skit lambung.
Adzkia Hanifa,"Syafakillah, Kanda."
Ilda Adriani,Jadi g boleh minum air hangat? Air biasa aja ya?
Hesty Soewito,istrinya pak dokter itu terima pesanan kue enak-enak lo mbak
Syaidah Nurjannah El-Maholtra,Obat lambung juga bs di bantu dengan minum jamu pahit/kunyit untuk antiseptik atau menambal lapisan lambung yg tipis
Helsyeria Melinda Masrie,syafakillah bu
Via Hayu Safitri,"Masya Allah.. Dapat pelajaran dari postingannya umi, ternyata ga boleh air hangat ya.. Saya sering Kambuh asam lambung. Selalu infus kalau udah kambuh,, rasanya gak berdaya... Obat yg dikasih dari dokter juga sama itu dengan punya umi"
Asmawati Asma,semoga segera diberikan kesembuhan ya tum
Irma Ummi Hazim,Semoga diberi kesembuhan   ..
Yuyu Greentea Nelayan,"Berarti sakit lambung gak boleh minum Air hangat,, gagal fokus baca,,, gak boleh minum kopi, soda....."
Bunda Zaskia,Sudah pulang tum semoga lekas sembuh ya..
Setty Wahyuningsih,Keren dokternya kk.. Jarang dokter yg sprti itu
Marina Saputri,Ibuprofen : pereda nyeri
Siti Nurjannah Al-Bangkalisi,Syafahullah syifaan ajlan kak
Firda Ummu Hisyam Harun,Kalau di Aulia Hospital kemaren saya bawa orangtua berobat dengan dr. Izwar beliau juga kerap memberi nasihat menambah iman dan imun dan membuat diri ini merenung.
Setty Wahyuningsih,Syafakillah kk..
Ash'habil Jannatil Atqo,Dokter nya dimana ni kk praktek nya ??
Ida Mutmainnatul Maulida,Semoga segara sembuh mba Makhtum
Elfia Rahmi,Syafakillah  ....
