Username,Komen
Bunga Ngatimah,"Nasib tragis wni secerdas dokter Loise, karena tidak nurut kehendak penguasa. Padahal sebenar nya merupakan asset bangsa untuk pengembangan ilmu pengobatan berbasic ramuan Indonesia khususnya dari suku Dayak yang terkenal itu"
Yon Triono,"Segolongan dokter Terawan, tapi sayang beliau nggak sekuat pak Terawan, akhirnya di ""gila"" kan"
Perli Rijal Palabuhanratu,prinsip dr luis pernah jadi inspirasiku saat mengobati ibuku yg diputuskan dr mengidap covid. Alhamdulillah sampai sekarang sehat lagi.
Disna Wati,RIP dokter Lois. Waktu yg akan membuktikan semuanya. Kok sy jadi ingat Galileo Galilei ..sedih
Ega Marjuki,Negeri yang menolak orang cerdas
Onceman,"Kebenaran selalu datangnya di akhir, klo di awal namanya pendaftaran"
Mamat Rahmat,Kapan Jokowi mundur ?
Nur Fain,"Mestinya dia punya teori seperti ahli virus pak Dhe Indro dg protokolnya, sehingga tidak terlampau berat melawan arus,semoga diterima amal baiknya.."
Gatot Jarot,Yg berbeda pendapat memang sering mendapat 'tanda khusus'. Di negeri ini. Jika sekelas jenderal dokter profesor dan menteri aja bully nya berlapis lapis apalagi seorang dokter lois. Yg hanya bergelar dokter. Semoga menjadi hikmah bagi kita semua bahwa …
Sugiran Dipoleksono,Orang hebat itu musuh nya luar biasa besar
Nina Herlyanah,"Turut berduka, aset bangsa yg luar biasa."
Agus Siswanto,"Prinsip, keilmuan dan yang kuat. Hebat."
Mamik Maryanti,Suku dayak dan suku makasar ternyata generasinya soal belief sdh moderat....bisa menikah dgn damai
Alex Abdul Khalik,"Dr.Louis,Dr.Terawan,Dr Siti Fadilah Supari...Mereka Yang menentang...Mereka Yang ""Di buang"""
Raisya Salsabila,Klo saya setuju dengan pak indro covid memang ada tapi gak perlu ditakutkan dan saya setuju pernyataan dokter louis soal plandemi tapi mohon maaf saya juga setuju untuk pakai masker sebagai sesuatu kebiasaan
Uy Taunga,"Takdir Manusia adalah Hak Mutlak dlm Rahsia serta Kuasa ALLAH. Betapa banyak suri tauladan hidup yg diberikan Bpk.Maestro Kehidupan Indonesia..multi aneka kisah, penuh multi talenta, multi kemampuan, multi kehebatan, silih berganti menjadi I'tibar penu…"
Marsup Amar,Selamat jalan dokter. Semoga HUSNUL KHOTIMAH. (SKB).
Yuniar Rahayu II,Ya Allah sedih bngt...
Agles Budi,"Turut berduka cita, dan angkat topi buat seorang martir. A"
Susarman Mitro Joyo Waseso,Covid antara ada dan tiada
Naufal Ramzy,Hebat Sang Suaminya itu ! Saya salut padanya.
Achmad Kusaeri,RIP...
Khusnul Maad,...
Agus Fathony,"Berarti korban covid secara tidak langsung, semoga almarhumah diampuni segala dosa dan diterima semua amal baiknya, Aamiin"
Nismara Kopetsu,"Selamat Jalan Dokter Cantik & Baik Hati .... aq termasuk salah satu orang yg ""tercerahkan"" dengan pemahamanmu..."
Li Ashabil Yamin,Innalillahi wa innailaihi roji'un semoga almarhumah dr.Lois husnul khotimah aamiin......
Juhana Kosim,"Sembuh dgn obat hasil temuannya, sayang resepnya ga diketahui masyarakat."
Ilham Kholis,Dokter anti mainstream
Maria Santoso,Jd tertarik dgn pnurunan bb.
Mas Soetikno,Tidak mencoba alternatif kayu Bajakah kah?
Mimin Hariyanto,AlFateha u beliu
Irwan Doank,Turut berduka cita.
Deddy Ardhie Nugraha,RIP dr Lois ...
Samsudin Jati Waseso,Semoga Husnul Khotimah....
Jatmiko Priyo,Turut berbela sungkawa yg sedalam dalamnya
Heri Widodo,Innalillahi wa innailaihi roji'un.
Kiswati,Turut berduka cita..smoga diterima semua amal baiknya...aamiin
Narto Ahmad Sang Pengembara,Selamat jalan dr. LOIS
Pamadib,Liberal..?
Yuyun Ilamiyah,RIP
Hanto L Sugiarto,RIP
Didik Indriyanto,Nyimak abah sehat selalu
Ngurah Alit Jambe,Slamat jalan bu
Arrofi Padiana,Dokter pejuang
Junaidi,Selamat jalan wahai pejuang..
Theresia Dayu Murwani,RIP
Harry Pjm,Turut prihatin
Agus Budi Sulthoni,"Di negri ini ...yg beda , wajib dibully. Apalagi urusan politik..."
Inni Rahayu,"Kenapa diakhir hayatnya suaminya tidak bertanggung jawab memakamkannya secara islam,kok malah diserahkan kepihak keluarganya dr lois"
Tzu Ghe Eng,"Mau tanya saja, apakah abah Dahlan percaya dengan dokter Lois soal  covidnya yg tanpa masker itu ?"
