Username,Komen
ChanTy ADja,"Timbang masang infus Skali brdarah za sgtu Marahnya.. w prnh dirawat gara2 pembuluh darahnya ga kliatan trs infusan mampet. mpe berkali2 pindah tmpt x.. malah pasrah za.. lgian klo emosian bgtu mendingan dirawat dirmh za, ga usah dibawa keRS...."
Dewi Purwati,Ank q di infus smapik 30 kali ja q di suruh plng krn gk bisa di infus q diem aja pdhal keRS lain suruh buat laporan tp q gak mau yg penting anku segera di layani di RS lain dan cepet sembuh
Amanda Thea,"Tp ini bukan masalah tusuk infus gaes, ini pas mau lepas infus. Udah sesuai SOP, selesai cabut langsung di gendong. Lepas kapasnya langsung berdarah."
Mamahe Aldy P,Ujung ujung nya paling kata maaf
Mei Bundana Rafka-rasya,"AQ pernah ngalamin ini,anakku pas usia 4 bulan,totalnya 20 lebih tusukan,sampe2 di Bawak ke ruang bedah buat masang infus,akhirnya bisa,itupun pasangnya dapet di kaki...sedih dan nggak tega sebenernya...tapi Alhamdulillah...sekarang anaknya sehat..."
Juli Ani,"Dimana pun siapa pun pasti ada kesalahan yg namanya pasang infus pasti berdarah kl TDK mauberdarah atau anak kesakitan jangan di bawa ke rumah sakit ,semua kita alami kl kita dirawat di rumah sakit jangan emosi dulu di tegur yg bagus jg emosi anak kita…"
Heryyanto Heryyanto,"kemungkinan perawatnya jutek saat berhadapan dgn keluarga pasien. menjadi emosi terpendam, saat ada masalah baru, emosi pun meledak"
Wahyu Hesti,Masang infus kalo berdarah itu wajar pak..karna kan masang lewat pembuluh...bukan di otot... pakk segitunya arogan banget kelakuannya..
Ratusamantha,"Wajarlh bpkny marah itu perawat klu gk bs mnt yg lainlh yg masang jgn d paksa , gara2 salah psg infus jg bs berakibat fatal, dtg mau berobat malah jd parah y emosilh org tuanya, sy pernah ngalami ky gini"
Vivien Thok,Anakku belum ada setahun berulang x gagal diiinfus. Sampai nangis aku liatnya. Naluriku sebagai seorang ibu g tega liatnya. Tapi aku juga g mukul atau jambak bahkan nyeret perawatnya. Lebih pasrah dan berdoa saja. alhamdullilah sampai sekarang sehat walafiat.
Eko Nug,"Saya mencoba memahami bagaimana kondisi psikologis si bapak baju merah saat anaknya sakit, pasti naluri akan melakukan apa saja demi kesembuhannya,.. walaupun tindaknya sangat berlebihan,..."
Legino Ayahnya Sofi,Saya juga gtu.. pernah di infus di tusuk smpe ber x2 tp bkn berarti mereka perawat tu salah.. mereka juga berusaha emg trkadang ad yg susah cari pena/pembulu darah ny yg sangat kcil hingga nal ny pn hrs yg untuk beby..  mereka jga sllu ingin yg trbaik …
Mami Kezia,"Saya pernah begitu .. anak gagal infus sampe darah kemana2, kesel sih liat nya karna ngak tega liat anak nangis,saran aja jika ada perawat seperti itu tolong ketika infus gagal mohon maaf n diberi penjelasan PD keluarga ,, mungkin bapak itu kesel tapi …"
Alley Damayanti,Manusiawi seorang bapak yg menyayangi anaknya .  stressed sdh pasti kondisi pandemi  Mungkin ada rasa traumatis yg mendalam ......sabarrr sabarrrrrrrrr
Nuzila Elmi,"Lagian itu anak mau pulang, makanya ada prosedur  melepas infus. Kalau bnyak gerak terus kapas plesternya copot pasti keluar darah kalau kondisi bekas infus masih baru, apalagi anak 2 tahun ga bisa diem... Mungkin juga si perawat komunikasi terapeutik …"
Rahmat Hendra,"Gk bisa hanya menyalakan pelaku, memang ada OKNUM Perawat yg sangat menyakitkan hati, apalagi kalo kita berobat pakai BPJS, sering sekali kita sebagai pasien tidak dihargai dan pelayanan nya asal-asalan.."
Marwoto Saputro,"Informasikan ke seluruh rumah sakit supaya keluarga ini gk diterima berobat dirumah sakit manapun ,nggk perlu dilayani"
Diianzt Vanzt Houttent,Nyari jalur pembulu darah ituu susah loh ..bahkan yg di tangan aja  belum tentu ada ..bisa di kaki juga naruh infusnya ..
Hariyanti Agustina,"Teruntuk pak botak klo andai kata eh seumpama kamu menang di hukum kamu terbukti tidak salah, tenang pak botak sangsi sosial cibiran jempol netijen lbih yahuuudd lebih ahhh mantap"
Batubara Hartono,Memasang infus itu tidak semudah meniup sempritan boss.!
Vina Yani,"Tidak manusiawi org seperti ini ,,,Berni y sama prempuan aja ,,,ntr d tuntut klrga si permpuan ,,,Bru blng mnta maaf bnyx lh sgala alasan ,,,,,hjaar balik jgn d kasi ampun ,,,dia tu sok jago ,,,klw dia tu ad di daerah kmi ndx pake"
