Username,Komen
Zarina Zamoure,lum jo terungkap lai na
Chiie,Kejam
Melda Yanti,jangan sampai kakek nya kabur
Endang Erwina,"Ya allah kejamnyo lai...serah kan diri se la lai.siapopun pelakunyo indak k bs lalok lamak do.allah itu tdk tdurr..bkin pusiang urang se,indak k bs bebas do setelah berbuat skejam itu"
Weninoeferi,Astagfirullahalazim....kejam bn neneknyo
Apri Susanti Lili,di mn tu kajadianyo.disolok selatan
Indra Dilly,Kejam nyo ya Allah...
Eka Putra,"Allah akan membalas dunia dan akhirat, Aamiin"
Zakia Zalika,astaufirullah kejam nyo lae ya allah...merinding awk mndanga nyo trso dek awk yg pnyo anak...smpai sgtu nyo banci smo ank2 ketek yg tak lain cucu surang...mskpn bkn cucu kndung...mngkn dek bkn xucu kndung ndk mko nyo di lkukan se keji itu tkut anak nya terbebani..
Susiemiminya BiacthAshoka Topchersiegahara,Lai Bana berita e ko...
Susiemiminya BiacthAshoka Topchersiegahara,Kjdian di Solok Selatan Lo MH Muaro labuah....tpi lah lamo kjdian e lai....
Ny Iskandar,Ada kakek nenek tiri . Bukan LG Mak tiri..
Susiemiminya BiacthAshoka Topchersiegahara,Foto anak e Samo...
Carissa Carina,Ya allah..jahaat nya...
Wati Naila Akbhar Epi,Ya allah jahat kali
Nurnengsih Haryadi,Semoga kakek dan nenek nyo di hukum mati saja
Indrayanti Samsri,"Solok Selatan,yg pasti di mana kampung kecilnya gaes"
Nurnengsih Haryadi,"Gk manusia itu kakek dan nenek nya, setan atau iblis berwujud manusia tak ada hati nurani nya sedikit pun pada anak2"
Yuni Camber Camber,Kalau terbukti memang gk kerajinan berarti itu perbuatan  orang yng g punya hati dan kasih sayng hewan aja ada kasih syng  nyo kok manusia bisa berbuat sekeji itu ya Allah ya yarBy
Muhammad Nabil,"Sadis nya nenek dan kakek.,....."
Nurnengsih Haryadi,Izin share yo ni
Reta Altovia,Semoga cepat terungkap pelakunya dn di hukum dgn setimpal.
Mulyeni Mulyeni,Bener tu nenek  dan kakek nya di hukum mati . Jangan  di biarin hidup orang kayak gitu
Fajarni Sarlita,Nenek n kakek y pelaku y nih...apa dasar y..karena capek.kah?
Mhd Rizal,Lah baun tanah... Masih juga tidak punya rasa kasihan... Dua kali dapat hukuman... Dunia dan akherat
Lastri Las,jangan di ksih ampun..hukum mti saja
Rudiyato Rudi,Lagian ayah dan Ibu nya hanya tau membuat anak saja nggak diurus
Nilla,Smg  nrnek dan kakek. D hukumsetimpal
Afrilia,Solok Selatan INFO
Refli Darni,Apa kakek setan itu udah d tangkap
Lusi Lusi,Mudahan pelaku cepat tertangkap...dan dihukum sesuai dg perbuatannya...
Yunis Mawarni,"Ko nnk jo kk zhlim hkum aja biar mti di penjara,binatang"
Eri Togar,semoga cepat ke tangkap sipelaku dan di hukum yg seberat mukin...
