Username,Komen
Syahdan Alamsyah,Sekitar jam 12.00 WIB alhamdulillah sudah masuk pemetiksaan
Irwan Kurniawan,Lagi praktek di kliniknya milik pribadinya (mungkin)
Agus Allo,Kalau soal dr di semua RS hampir sama..Yaitu lamaaaa nunggunya .
Cecep Supriadi,"Dicianjur jga sama ""mungkin"" hampir semua RS gtu jga."
Sutinah Tinah,Adis bukan a yg sakit...
De Light,kenapa dokter selalu datang telat
Dana Miharja,Percis di RS jpk jga sprti itu...mungkin dokter nya visit  ke ruangan dulu
Hendri Mulya,mungkin dokter nya malam nya ngeranda eh bukan ngeronda
Dany Fadilah Ramdhany,Biasanya dokternya pagi nya buka praktek pribadi dlu  ..kl rame bs smpe siang..baru beresnya ke rs.. tar sore praktek lg di klinik nya ..
CBey Bikerz,Jln kaki kayak nya ke RsUd nya
